timestamp_unix,pitch,yaw,ear,fps,state
1764920344.426631,11.48,0.08,0.211,0,Drowsy / Closed
1764920344.5249093,34.0,0.84,0.191,0,Distracted
1764920344.6235597,34.0,0.84,0.231,0,Distracted
1764920344.7133281,46.31,1.52,0.241,0,Distracted
1764920344.8277411,52.21,2.0,0.241,9,Distracted
1764920345.0134377,54.7,2.55,0.24,9,Distracted
1764920345.2546558,41.38,1.64,0.242,9,Distracted
1764920345.5753357,33.22,1.14,0.254,9,Distracted
1764920345.6886492,41.94,1.44,0.258,9,Distracted
1764920345.840575,46.3,1.71,0.258,7,Distracted
1764920346.0077171,34.01,1.09,0.26,7,Distracted
1764920346.1875558,26.76,0.74,0.252,7,Distracted
1764920346.3090603,22.4,0.52,0.252,7,Distracted
1764920346.4297721,19.68,0.4,0.253,7,Distracted
1764920346.746482,17.93,0.3,0.253,7,Focused
1764920346.9600067,16.63,0.27,0.244,7,Focused
1764920347.1514254,15.83,0.24,0.245,7,Focused
1764920347.2929945,15.21,0.21,0.248,7,Focused
1764920347.4348664,14.62,0.22,0.252,7,Focused
1764920347.5533967,14.18,0.19,0.252,7,Focused
1764920347.6548054,13.89,0.17,0.253,7,Focused
1764920347.7898312,13.49,0.18,0.254,7,Focused
1764920347.8778722,13.29,0.16,0.246,7,Focused
1764920347.9547203,12.99,0.14,0.254,7,Focused
1764920348.0335863,21.41,0.84,0.254,7,Distracted
1764920348.1134753,17.36,0.51,0.239,7,Focused
1764920348.1834655,15.09,0.32,0.228,7,Focused
1764920348.2634084,13.76,0.22,0.221,7,Focused
1764920348.3437097,12.98,0.16,0.214,7,Drowsy / Closed
1764920348.413352,12.42,0.12,0.218,8,Drowsy / Closed
1764920348.4734147,12.2,0.1,0.216,8,Drowsy / Closed
1764920348.5348904,23.27,1.26,0.223,8,Distracted
1764920348.5936773,17.98,0.73,0.231,8,Focused
1764920348.6563666,26.04,1.7,0.231,8,Distracted
1764920348.7312746,30.51,2.73,0.229,9,Distracted
1764920348.8049703,33.07,3.57,0.214,9,Distracted
1764920348.873547,34.4,4.11,0.205,9,Distracted
1764920348.939411,35.73,4.26,0.207,9,Distracted
1764920349.0053422,36.36,3.96,0.212,9,Distracted
1764920349.0709736,36.68,3.63,0.206,10,Distracted
1764920349.1434045,36.74,3.33,0.207,10,Distracted
1764920349.2134118,55.24,0.52,0.212,10,Distracted
1764920349.2749214,34.52,1.22,0.218,10,Distracted
1764920349.3343234,23.34,0.61,0.219,10,Distracted
1764920349.4033158,48.1,0.75,0.211,11,Distracted
1764920349.475428,30.78,0.36,0.209,11,Distracted
1764920349.552924,21.15,0.13,0.209,11,Distracted
1764920349.6105947,28.17,1.65,0.207,11,Distracted
1764920349.6753423,32.37,2.76,0.208,11,Distracted
1764920349.734748,35.01,3.01,0.206,11,Distracted
1764920349.8008282,36.07,3.23,0.207,11,Distracted
1764920349.8706193,36.63,3.27,0.206,11,Distracted
1764920349.9436357,37.35,3.08,0.208,11,Distracted
1764920350.0043316,37.85,2.57,0.208,11,Distracted
1764920350.0747957,38.39,2.4,0.207,11,Distracted
1764920350.134708,38.57,2.1,0.218,11,Distracted
1764920350.1935866,38.62,1.87,0.218,11,Distracted
1764920350.2635615,38.63,1.83,0.216,11,Distracted
1764920350.3380284,38.56,1.84,0.216,11,Distracted
1764920350.4072535,40.54,1.93,0.218,12,Distracted
1764920350.4934554,41.58,1.53,0.215,12,Distracted
1764920350.5567522,43.16,1.23,0.21,12,Distracted
1764920350.6333833,45.46,0.9,0.202,12,Distracted
1764920350.7059798,28.76,0.43,0.198,12,Distracted
