timestamp_unix,pitch,yaw,ear,fps,state
1764942222.505873,156.43,3.02,0.176,0,Distracted
1764942222.6313546,153.16,5.38,0.221,0,Distracted
1764942222.7555368,152.07,6.51,0.229,0,Distracted
1764942222.8809495,151.17,6.56,0.23,0,Distracted
1764942222.9978287,150.7,7.19,0.236,8,Distracted
1764942223.1628373,151.02,7.08,0.236,8,Distracted
1764942223.3299735,151.62,7.49,0.23,8,Distracted
1764942223.473986,152.72,7.15,0.239,8,Distracted
1764942223.579583,156.57,9.48,0.267,8,Distracted
1764942223.6759045,160.19,7.4,0.268,8,Distracted
1764942223.78824,160.78,6.64,0.254,8,Distracted
1764942223.914008,162.47,7.95,0.248,8,Distracted
1764942224.0039895,163.65,8.49,0.252,8,Distracted
1764942224.112281,163.03,8.64,0.254,8,Distracted
1764942224.2221358,162.32,7.98,0.244,8,Distracted
1764942224.3358443,161.8,6.83,0.238,8,Distracted
1764942224.436594,161.97,6.67,0.238,8,Distracted
1764942224.5528457,161.83,6.17,0.232,8,Distracted
1764942224.6757627,161.74,6.07,0.232,8,Distracted
1764942224.789766,161.8,6.33,0.226,8,Distracted
1764942224.9147072,162.21,6.57,0.234,8,Distracted
1764942225.0499156,162.44,6.57,0.24,8,Distracted
1764942225.1987176,162.37,6.97,0.249,8,Distracted
1764942225.3299701,161.78,6.78,0.241,8,Distracted
1764942225.4787085,161.62,6.99,0.24,8,Distracted
1764942225.6287014,160.87,7.0,0.239,8,Distracted
1764942225.7412736,160.91,6.89,0.241,8,Distracted
1764942225.8492415,161.07,6.76,0.243,8,Distracted
1764942225.9580774,161.11,7.07,0.249,8,Distracted
1764942226.0599487,161.31,7.1,0.252,8,Distracted
1764942226.1573536,161.35,7.03,0.251,8,Distracted
1764942226.2616746,161.45,6.97,0.249,8,Distracted
1764942226.3629634,161.74,7.1,0.249,8,Distracted
1764942226.4568143,161.5,7.08,0.245,8,Distracted
1764942226.554369,161.59,7.49,0.247,9,Distracted
1764942226.6561868,161.76,7.54,0.243,9,Distracted
1764942226.7507403,162.27,7.77,0.246,9,Distracted
1764942226.9055374,161.24,6.68,0.118,9,Distracted
1764942226.9956214,161.69,6.24,0.127,9,Distracted
1764942227.0998316,162.53,6.41,0.167,9,Distracted
1764942227.2245724,162.67,6.81,0.195,9,Distracted
1764942227.379933,162.7,6.55,0.211,9,Distracted
1764942227.5130997,162.86,6.34,0.222,9,Distracted
1764942227.6220841,163.2,6.65,0.237,9,Distracted
1764942227.7619503,163.78,6.43,0.243,9,Distracted
1764942227.8978019,163.75,5.97,0.245,9,Distracted
1764942228.033636,163.84,5.9,0.244,9,Distracted
1764942228.1480498,164.07,5.77,0.241,9,Distracted
1764942228.2537916,164.56,5.77,0.248,9,Distracted
1764942228.35562,164.8,5.98,0.245,9,Distracted
1764942228.4738548,164.92,6.14,0.241,9,Distracted
1764942228.5928328,165.28,6.23,0.242,9,Distracted
1764942228.7218568,165.22,6.4,0.243,9,Distracted
1764942228.8619301,165.43,6.09,0.242,9,Distracted
1764942228.961795,165.56,6.33,0.24,9,Distracted
1764942229.0740342,165.21,6.27,0.241,9,Distracted
1764942229.2031937,165.41,6.53,0.238,9,Distracted
1764942229.3084407,165.65,6.97,0.242,9,Distracted
1764942229.40973,165.42,6.89,0.244,9,Distracted
1764942229.5190322,165.5,6.52,0.242,9,Distracted
1764942229.6495445,165.64,6.28,0.241,9,Distracted
1764942229.7479706,165.61,5.33,0.162,9,Distracted
1764942229.8630784,165.34,5.12,0.141,9,Distracted
1764942230.0387752,165.53,5.93,0.174,9,Distracted
1764942230.2388716,165.62,6.85,0.199,9,Distracted
1764942230.4032507,165.37,6.55,0.216,9,Distracted
1764942230.5419288,165.23,6.72,0.228,9,Distracted
1764942230.6940002,166.31,6.37,0.231,9,Distracted
1764942230.8456721,166.15,6.01,0.234,9,Distracted
1764942230.995701,166.09,5.73,0.243,8,Distracted
1764942231.1158423,165.84,5.31,0.254,8,Distracted
1764942231.291987,165.8,5.48,0.257,8,Distracted
1764942231.38828,165.43,5.71,0.256,8,Distracted
1764942231.4802969,165.28,5.99,0.254,8,Distracted
1764942231.5918593,165.41,5.93,0.261,8,Distracted
1764942231.7117796,165.1,6.43,0.268,8,Distracted
1764942231.8216517,165.07,6.53,0.271,8,Distracted
1764942231.971783,165.24,6.85,0.271,8,Distracted
1764942232.09827,164.94,6.77,0.261,8,Distracted
1764942232.2164414,164.76,6.39,0.262,8,Distracted
1764942232.3420005,164.57,5.92,0.256,8,Distracted
1764942232.457254,164.63,6.11,0.252,8,Distracted
1764942232.614165,164.24,6.2,0.243,8,Distracted
1764942232.7939386,164.18,5.6,0.236,8,Distracted
1764942232.9159496,164.64,5.01,0.232,8,Distracted
1764942233.0595567,164.14,3.84,0.172,8,Distracted
1764942233.2174468,164.29,4.55,0.181,8,Distracted
1764942233.379232,164.65,4.96,0.195,8,Distracted
1764942233.5307896,164.57,5.88,0.217,8,Distracted
1764942233.6552563,164.65,5.3,0.229,8,Distracted
1764942233.7913122,164.67,5.1,0.236,8,Distracted
1764942233.9456513,165.03,4.85,0.228,8,Distracted
1764942234.1030834,165.0,4.67,0.225,8,Distracted
1764942234.2187057,165.53,4.59,0.231,8,Distracted
1764942234.333898,165.62,4.71,0.233,8,Distracted
1764942234.4420915,165.72,4.26,0.238,8,Distracted
1764942234.5602133,166.05,4.3,0.241,8,Distracted
1764942234.6780229,166.39,3.83,0.233,8,Distracted
1764942234.7977204,166.29,4.02,0.234,8,Distracted
1764942234.9121616,166.27,4.05,0.237,8,Distracted
1764942235.0112824,166.15,4.44,0.235,8,Distracted
1764942235.1444576,165.72,4.61,0.238,8,Distracted
1764942235.2801597,165.74,4.71,0.242,8,Distracted
1764942235.4308426,165.72,4.83,0.243,8,Distracted
1764942235.5429473,165.51,4.27,0.244,8,Distracted
1764942235.6747577,165.49,4.02,0.245,8,Distracted
1764942235.8029563,165.9,4.28,0.226,8,Distracted
