timestamp_unix,pitch,yaw,ear,fps,state
1764942248.2573462,162.72,2.11,0.216,0,Distracted
1764942248.3722322,163.39,2.56,0.208,0,Distracted
1764942248.4983847,163.29,3.13,0.213,0,Distracted
1764942248.657038,164.0,4.15,0.223,0,Distracted
1764942248.8338745,164.77,4.6,0.215,7,Distracted
1764942248.9976737,165.52,5.09,0.215,7,Distracted
1764942249.1611114,166.19,5.46,0.221,7,Distracted
1764942249.3363056,165.6,4.86,0.228,7,Distracted
1764942249.509806,165.59,5.28,0.23,7,Distracted
1764942249.6984093,165.16,5.02,0.244,7,Distracted
1764942249.860868,165.3,5.45,0.245,7,Distracted
1764942249.9957094,164.94,5.83,0.254,7,Distracted
1764942250.0967603,164.36,6.02,0.259,7,Distracted
1764942250.2166276,164.09,6.36,0.248,7,Distracted
1764942250.3385308,163.7,5.99,0.249,7,Distracted
1764942250.458854,164.12,6.73,0.243,7,Distracted
1764942250.5608819,163.94,6.68,0.244,7,Distracted
1764942250.6707685,163.8,6.99,0.243,7,Distracted
1764942250.7811615,163.65,7.17,0.244,7,Distracted
1764942250.887406,163.79,7.42,0.247,8,Distracted
1764942251.018132,163.82,7.77,0.243,8,Distracted
1764942251.1465425,163.81,7.72,0.238,8,Distracted
1764942251.2570596,163.72,7.2,0.236,8,Distracted
1764942251.3707812,164.3,7.01,0.241,8,Distracted
1764942251.4901965,164.47,7.22,0.241,8,Distracted
1764942251.5983293,164.56,7.35,0.247,8,Distracted
1764942251.7263632,164.35,7.1,0.245,8,Distracted
1764942251.839157,164.31,7.3,0.246,8,Distracted
1764942251.9751043,163.65,6.67,0.247,8,Distracted
1764942252.117064,163.9,5.88,0.245,8,Distracted
1764942252.281026,163.9,5.98,0.248,8,Distracted
1764942252.3967338,163.22,5.67,0.244,8,Distracted
1764942252.539518,163.04,5.76,0.247,8,Distracted
1764942252.7008493,163.88,5.67,0.238,8,Distracted
1764942252.819314,164.88,6.05,0.236,8,Distracted
1764942252.928666,165.16,6.53,0.242,8,Distracted
1764942253.0254922,166.04,6.3,0.241,8,Distracted
1764942253.118927,166.83,5.69,0.248,8,Distracted
1764942253.2144046,166.69,5.57,0.255,8,Distracted
1764942253.328314,166.31,5.73,0.253,8,Distracted
1764942253.430096,166.09,5.7,0.251,8,Distracted
1764942253.5366542,165.67,5.36,0.25,8,Distracted
1764942253.6381948,165.59,5.33,0.251,8,Distracted
1764942253.7680006,165.68,5.54,0.252,8,Distracted
1764942253.8905764,164.95,5.64,0.248,8,Distracted
1764942254.0387833,164.35,4.85,0.134,8,Distracted
1764942254.1352625,164.51,4.74,0.105,8,Distracted
1764942254.2543876,164.97,5.5,0.168,8,Distracted
1764942254.4051807,165.54,5.97,0.2,8,Distracted
1764942254.5099127,165.28,5.39,0.229,8,Distracted
1764942254.6136243,164.89,5.13,0.238,8,Distracted
1764942254.713973,164.86,5.32,0.241,8,Distracted
1764942254.867619,164.74,5.02,0.243,8,Distracted
1764942254.9752245,164.77,5.1,0.244,8,Distracted
1764942255.0999315,164.62,4.77,0.264,8,Distracted
1764942255.2302513,163.46,4.02,0.269,8,Distracted
1764942255.3370078,163.68,3.17,0.265,8,Distracted
1764942255.4522064,163.13,1.93,0.14,8,Distracted
1764942255.5691497,164.11,2.15,0.202,8,Distracted
1764942255.678581,164.26,1.24,0.23,8,Distracted
1764942255.8107092,165.14,1.49,0.259,8,Distracted
1764942255.9340622,165.2,0.01,0.284,8,Distracted
1764942256.0376027,162.79,-6.3,0.262,8,Distracted
1764942256.1377866,160.96,-13.56,0.281,8,Distracted
1764942256.2543354,160.46,-17.21,0.273,8,Distracted
1764942256.378299,162.81,-13.3,0.236,8,Distracted
1764942256.4708288,163.56,-2.36,0.213,8,Distracted
1764942256.5671067,162.52,9.92,0.223,8,Distracted
1764942256.6677363,160.58,18.8,0.245,8,Distracted
1764942256.775705,158.91,24.87,0.249,8,Distracted
1764942256.8819733,158.95,25.71,0.259,8,Distracted
1764942256.9972231,160.08,21.19,0.222,8,Distracted
1764942257.124769,163.09,14.21,0.219,8,Distracted
1764942257.2355125,164.79,7.87,0.219,8,Distracted
1764942257.364476,166.55,3.45,0.224,8,Distracted
1764942257.479799,167.81,1.43,0.235,8,Distracted
1764942257.6139371,169.04,0.58,0.24,8,Distracted
1764942257.7339592,169.41,0.18,0.244,8,Distracted
1764942257.8558915,169.33,-0.0,0.244,8,Distracted
1764942257.9604707,169.36,-0.08,0.245,8,Distracted
1764942258.068754,169.72,-0.01,0.25,8,Distracted
1764942258.1764832,169.94,0.26,0.255,8,Distracted
1764942258.2761269,169.81,-0.03,0.252,8,Distracted
1764942258.4156368,169.52,0.3,0.25,8,Distracted
1764942258.5346847,169.07,-0.09,0.252,8,Distracted
1764942258.6277642,168.77,0.17,0.259,8,Distracted
1764942258.7353609,169.03,0.01,0.257,8,Distracted
1764942258.867914,169.57,0.36,0.26,8,Distracted
1764942258.9922633,168.69,0.26,0.253,8,Distracted
1764942259.1372852,167.58,0.24,0.248,8,Distracted
1764942259.3710198,167.43,1.47,0.238,8,Distracted
1764942259.5489972,166.93,2.96,0.244,8,Distracted
1764942259.7422779,166.49,4.35,0.234,8,Distracted
1764942259.9123046,165.48,4.82,0.228,8,Distracted
1764942260.0568655,166.29,5.23,0.231,8,Distracted
1764942260.212018,166.86,5.9,0.239,8,Distracted
1764942260.3923965,166.46,6.04,0.254,8,Distracted
1764942260.54998,165.53,6.25,0.251,8,Distracted
1764942260.6955323,165.61,5.26,0.251,8,Distracted
1764942260.8598557,165.63,3.69,0.241,8,Distracted
1764942261.0224452,165.92,3.47,0.238,8,Distracted
1764942261.171136,166.65,3.18,0.24,8,Distracted
1764942261.3330915,166.66,2.81,0.242,8,Distracted
1764942261.499818,166.81,2.56,0.241,8,Distracted
1764942261.6700284,166.84,2.08,0.231,8,Distracted
1764942261.8606334,167.48,1.87,0.226,8,Distracted
1764942262.0526488,166.42,2.03,0.217,8,Distracted
1764942262.2177153,166.51,2.75,0.206,8,Distracted
1764942262.412144,166.58,3.83,0.209,8,Distracted
1764942262.5979784,166.2,4.25,0.212,8,Distracted
1764942262.7904637,166.09,5.32,0.21,8,Distracted
1764942263.0177162,165.99,5.74,0.211,8,Distracted
1764942263.2370596,165.09,6.11,0.219,8,Distracted
1764942263.4280553,163.68,6.2,0.23,8,Distracted
1764942263.6105812,163.2,6.46,0.227,8,Distracted
1764942263.8093488,163.13,6.93,0.23,8,Distracted
1764942263.979029,163.48,7.46,0.233,8,Distracted
1764942264.1484652,163.91,8.12,0.246,8,Distracted
1764942264.3374817,164.28,8.46,0.252,8,Distracted
1764942264.4563234,164.43,8.73,0.261,8,Distracted
1764942264.6218636,164.89,8.78,0.262,8,Distracted
1764942264.7987428,165.11,8.59,0.262,8,Distracted
1764942265.0137892,164.99,8.6,0.254,8,Distracted
1764942265.211943,164.81,8.27,0.25,8,Distracted
1764942265.4240522,164.62,7.88,0.254,8,Distracted
1764942265.5636759,164.88,6.51,0.248,8,Distracted
1764942265.6994467,164.9,5.55,0.245,8,Distracted
1764942265.8229809,165.0,5.29,0.241,8,Distracted
1764942265.9608443,165.41,5.59,0.247,8,Distracted
1764942266.1131537,165.17,5.6,0.246,8,Distracted
1764942266.2621412,164.93,5.3,0.244,8,Distracted
1764942266.395627,164.9,5.41,0.244,8,Distracted
1764942266.5505426,164.0,4.4,0.138,8,Distracted
