timestamp_unix,pitch,yaw,ear,fps,state
1764954178.938001,163.51,10.79,0.178,0,Distracted
1764954179.0073988,165.86,5.6,0.191,0,Distracted
1764954179.064529,166.87,3.65,0.2,0,Distracted
1764954179.122684,167.03,2.79,0.184,0,Distracted
1764954179.2137764,166.85,3.07,0.175,15,Distracted
1764954179.3033469,167.05,2.96,0.172,15,Distracted
1764954179.3717859,166.65,2.42,0.194,15,Distracted
1764954179.4301095,166.54,2.68,0.2,15,Distracted
1764954179.4792588,166.11,3.32,0.208,15,Distracted
1764954179.568304,165.65,3.29,0.211,15,Distracted
1764954179.6670575,165.33,4.08,0.208,15,Distracted
1764954179.7601907,165.2,4.71,0.214,15,Distracted
1764954179.8342988,165.05,4.9,0.214,15,Distracted
1764954179.922239,164.89,5.25,0.221,15,Distracted
1764954180.0280852,164.74,4.66,0.229,14,Distracted
1764954180.106984,164.36,4.46,0.229,14,Distracted
1764954180.1854866,164.3,4.89,0.228,14,Distracted
1764954180.2577014,164.53,4.88,0.224,14,Distracted
1764954180.3300035,164.54,4.83,0.224,14,Distracted
1764954180.3864892,164.58,5.33,0.221,13,Distracted
1764954180.4832804,164.58,5.47,0.214,13,Distracted
1764954180.5377207,164.67,5.34,0.208,13,Distracted
1764954180.5992346,164.49,4.72,0.205,13,Distracted
1764954180.6781058,164.06,4.06,0.204,13,Distracted
1764954180.7703624,164.23,3.87,0.204,14,Distracted
1764954180.8307526,164.38,3.7,0.204,14,Distracted
1764954180.8906898,164.19,3.55,0.207,14,Distracted
1764954180.9404175,164.43,3.97,0.214,14,Distracted
1764954181.00703,164.41,3.99,0.215,14,Distracted
1764954181.0893922,164.62,4.27,0.215,14,Distracted
1764954181.1755817,164.67,4.43,0.215,14,Distracted
1764954181.224289,164.78,4.71,0.215,14,Distracted
1764954181.285236,164.51,4.34,0.188,14,Distracted
1764954181.34109,164.27,3.42,0.147,14,Distracted
1764954181.3895535,164.31,3.47,0.153,14,Distracted
1764954181.4398205,164.39,3.94,0.16,14,Distracted
1764954181.485766,164.32,4.27,0.181,14,Distracted
1764954181.5332415,164.42,4.71,0.192,14,Distracted
1764954181.5905156,164.59,5.03,0.201,14,Distracted
1764954181.649028,164.62,5.16,0.204,15,Distracted
1764954181.711439,164.82,5.08,0.204,15,Distracted
1764954181.7741892,164.74,4.84,0.204,15,Distracted
1764954181.8720145,164.74,4.66,0.204,15,Distracted
1764954181.9496658,164.98,4.71,0.213,15,Distracted
1764954182.0333865,165.08,4.79,0.216,15,Distracted
1764954182.0895593,164.95,4.84,0.218,15,Distracted
1764954182.1379297,164.82,5.01,0.218,15,Distracted
1764954182.226898,165.56,5.03,0.224,15,Distracted
1764954182.295155,166.03,4.7,0.234,15,Distracted
1764954182.3595195,165.95,4.49,0.233,15,Distracted
1764954182.411403,165.6,4.35,0.254,15,Distracted
1764954182.484208,165.47,4.16,0.27,15,Distracted
1764954182.553115,165.14,4.09,0.276,15,Distracted
1764954182.632761,164.64,3.58,0.273,15,Distracted
1764954182.6814604,164.91,3.2,0.278,15,Distracted
