timestamp_unix,pitch,yaw,ear,fps,state
1764955281.9936237,166.82,6.62,0.106,0,Distracted
1764955282.1553216,165.26,2.35,0.144,0,Distracted
1764955282.312669,163.36,1.4,0.173,0,Distracted
1764955282.46302,162.22,0.79,0.192,0,Distracted
1764955282.570875,160.63,-0.44,0.195,6,Distracted
1764955282.6871092,160.55,-1.47,0.2,6,Distracted
1764955282.7968006,161.09,-1.14,0.2,6,Distracted
1764955282.9234905,162.28,-0.48,0.203,6,Distracted
1764955283.0858164,161.86,0.47,0.2,6,Distracted
1764955283.2094107,162.77,2.2,0.19,7,Distracted
1764955283.3193686,166.7,3.97,0.111,7,Distracted
1764955283.4364817,171.16,4.11,0.109,7,Distracted
1764955283.582844,174.47,2.53,0.141,7,Distracted
1764955283.7081974,176.9,0.62,0.166,7,Distracted
1764955283.814832,-1.09,-0.55,0.178,8,Drowsy / Eyes Closed
1764955283.9234023,-98.69,-0.73,0.197,8,Distracted
1764955284.0236752,27.06,-0.51,0.208,8,Distracted
1764955284.123714,97.59,-0.08,0.218,8,Distracted
1764955284.2347658,136.21,0.27,0.228,8,Distracted
1764955284.3376403,157.59,1.61,0.224,8,Distracted
1764955284.44481,168.23,1.38,0.228,8,Distracted
1764955284.5831258,172.87,2.01,0.242,8,Distracted
1764955284.8012805,177.35,3.36,0.229,8,Distracted
1764955284.9931397,179.82,3.8,0.217,8,Distracted
1764955285.1075346,180.27,2.49,0.219,8,Distracted
1764955285.216314,179.57,1.98,0.212,8,Distracted
1764955285.3155818,179.16,0.52,0.228,8,Distracted
1764955285.4133677,178.99,-0.37,0.23,8,Distracted
1764955285.5152035,179.02,-1.1,0.235,8,Distracted
1764955285.615972,178.78,-0.89,0.23,8,Distracted
1764955285.7471144,177.54,0.6,0.225,8,Distracted
1764955285.8971035,177.45,0.53,0.223,8,Distracted
1764955286.0203283,177.7,-0.68,0.226,8,Distracted
1764955286.1310375,177.54,-0.56,0.234,8,Distracted
1764955286.236762,176.37,-1.31,0.232,8,Distracted
1764955286.3966346,176.51,-2.39,0.23,8,Distracted
1764955286.5403295,176.27,-3.22,0.239,8,Distracted
1764955286.6547616,175.97,-3.38,0.243,8,Distracted
1764955286.7678306,176.02,-2.25,0.247,8,Distracted
1764955286.9439454,175.74,-1.84,0.242,8,Distracted
1764955287.148785,175.69,-1.85,0.246,8,Distracted
1764955287.299467,175.72,-1.55,0.248,8,Distracted
1764955287.4804041,176.03,-1.17,0.249,8,Distracted
