timestamp_unix,pitch,yaw,ear,fps,state
1764961858.43664,176.22,5.69,0.277,0,Distracted
1764961858.5281327,176.9,12.39,0.292,0,Distracted
1764961858.6124449,177.53,15.07,0.3,0,Distracted
1764961858.6999002,177.81,15.63,0.304,0,Distracted
1764961858.7535498,178.09,15.86,0.304,11,Distracted
1764961858.8285518,178.21,15.6,0.304,11,Distracted
1764961858.8875446,178.44,15.22,0.299,11,Distracted
1764961858.9674623,178.57,14.55,0.297,11,Distracted
1764961859.0614336,178.56,13.89,0.296,11,Distracted
1764961859.1480064,178.8,13.3,0.296,13,Distracted
1764961859.2104402,178.79,12.98,0.288,13,Distracted
1764961859.2683275,178.89,12.84,0.282,13,Distracted
1764961859.3208504,178.51,13.16,0.293,13,Distracted
1764961859.4105258,178.48,13.11,0.294,13,Distracted
1764961859.4909644,178.39,12.57,0.293,14,Distracted
1764961859.5473409,178.23,12.14,0.292,14,Distracted
1764961859.598012,178.1,11.43,0.291,14,Distracted
1764961859.6528895,178.23,10.72,0.292,14,Distracted
1764961859.7024302,177.97,10.75,0.293,14,Distracted
1764961859.766207,178.13,10.46,0.292,15,Distracted
1764961859.8297825,178.13,10.27,0.29,15,Distracted
1764961859.9087553,178.03,9.97,0.29,15,Distracted
1764961859.966243,177.93,10.0,0.287,15,Distracted
1764961860.0548294,177.93,10.14,0.289,15,Distracted
1764961860.1429865,178.08,10.37,0.288,15,Distracted
1764961860.206604,178.31,9.9,0.289,15,Distracted
1764961860.271495,178.36,9.65,0.292,15,Distracted
1764961860.3364673,178.51,9.65,0.292,15,Distracted
1764961860.394196,178.65,9.71,0.292,15,Distracted
1764961860.4693701,178.23,9.5,0.281,15,Distracted
1764961860.5373564,178.02,9.29,0.279,15,Distracted
1764961860.61226,178.11,9.36,0.277,15,Distracted
1764961860.6801116,178.19,9.54,0.274,15,Distracted
1764961860.7534926,178.21,9.97,0.272,15,Distracted
1764961860.809547,178.08,10.11,0.271,15,Distracted
1764961860.8988175,178.18,9.88,0.275,15,Distracted
1764961860.9717164,178.33,9.83,0.276,15,Distracted
1764961861.0522082,178.21,9.73,0.278,15,Distracted
1764961861.1084232,178.16,9.39,0.281,15,Distracted
1764961861.1794891,178.18,9.02,0.285,15,Distracted
1764961861.2426555,177.91,8.94,0.287,15,Distracted
1764961861.340457,177.84,9.29,0.285,15,Distracted
1764961861.4232664,177.59,9.69,0.278,15,Distracted
1764961861.497382,177.23,9.61,0.262,15,Distracted
1764961861.5603,176.65,9.21,0.182,14,Distracted
1764961861.6085536,177.67,8.69,0.143,14,Distracted
1764961861.6745758,177.28,8.76,0.147,14,Distracted
1764961861.744754,176.82,9.38,0.176,14,Distracted
1764961861.7978258,176.6,9.88,0.2,14,Distracted
1764961861.8719692,176.57,10.16,0.226,15,Distracted
1764961861.9311712,176.57,10.09,0.242,15,Distracted
1764961862.0121884,176.85,9.93,0.252,15,Distracted
1764961862.0820875,176.81,9.86,0.255,15,Distracted
1764961862.167654,176.34,9.88,0.257,15,Distracted
1764961862.2543666,176.4,9.72,0.259,15,Distracted
1764961862.3169744,176.28,9.61,0.255,15,Distracted
1764961862.3969078,176.42,9.61,0.261,15,Distracted
1764961862.4789586,176.16,9.33,0.263,15,Distracted
1764961862.5326152,176.11,9.4,0.264,15,Distracted
1764961862.5971253,176.07,9.49,0.265,15,Distracted
1764961862.646815,176.04,9.52,0.263,15,Distracted
1764961862.7386613,176.19,9.23,0.269,15,Distracted
1764961862.823249,176.17,9.29,0.274,15,Distracted
1764961862.910638,176.23,9.43,0.273,15,Distracted
1764961862.9718704,176.29,9.39,0.273,15,Distracted
1764961863.0254016,176.31,9.15,0.27,15,Distracted
1764961863.0776575,176.44,8.88,0.265,15,Distracted
1764961863.1592038,176.52,9.09,0.262,15,Distracted
1764961863.245161,176.61,9.02,0.263,15,Distracted
1764961863.3267539,176.7,9.01,0.262,15,Distracted
1764961863.3774948,176.79,9.08,0.261,15,Distracted
1764961863.4478555,176.74,9.18,0.266,15,Distracted
1764961863.4995635,176.78,9.07,0.271,15,Distracted
1764961863.5480258,176.89,8.92,0.272,15,Distracted
1764961863.6011891,177.08,8.85,0.272,15,Distracted
1764961863.6519568,177.29,8.56,0.271,15,Distracted
1764961863.7185478,177.49,8.67,0.27,15,Distracted
1764961863.7798686,177.43,8.56,0.271,15,Distracted
1764961863.8367023,177.41,8.62,0.271,15,Distracted
1764961863.9239156,177.59,8.61,0.27,15,Distracted
1764961863.9952266,177.6,8.67,0.268,15,Distracted
1764961864.0477502,177.57,8.62,0.268,15,Distracted
1764961864.09642,177.7,8.72,0.27,15,Distracted
1764961864.1472754,177.66,8.74,0.272,15,Distracted
1764961864.230774,177.66,8.72,0.271,15,Distracted
1764961864.2873335,177.63,8.62,0.269,15,Distracted
1764961864.3750906,177.45,8.67,0.272,15,Distracted
1764961864.4684534,177.53,8.76,0.272,15,Distracted
1764961864.5379002,177.53,9.12,0.274,15,Distracted
1764961864.6018596,177.66,9.09,0.27,15,Distracted
1764961864.687738,177.57,9.21,0.275,15,Distracted
1764961864.7589557,177.33,9.36,0.269,15,Distracted
1764961864.822979,177.06,9.84,0.258,15,Distracted
1764961864.8961244,176.92,10.3,0.261,15,Distracted
1764961864.9546592,177.07,10.47,0.264,15,Distracted
1764961865.0186799,177.09,10.57,0.265,15,Distracted
1764961865.072411,177.22,10.64,0.265,15,Distracted
1764961865.1361296,177.26,10.65,0.265,15,Distracted
1764961865.1887908,177.32,10.54,0.267,15,Distracted
1764961865.2781074,177.41,10.46,0.267,15,Distracted
1764961865.3683972,177.42,10.58,0.272,15,Distracted
1764961865.456792,177.26,10.81,0.274,15,Distracted
1764961865.5443876,176.97,10.57,0.268,15,Distracted
1764961865.6214917,177.0,10.43,0.265,15,Distracted
1764961865.6737058,177.12,10.36,0.274,15,Distracted
1764961865.7651052,177.44,10.07,0.274,15,Distracted
1764961865.8209198,177.4,9.66,0.275,15,Distracted
1764961865.9094224,177.22,9.48,0.273,15,Distracted
1764961865.993068,177.36,9.37,0.274,15,Distracted
1764961866.0622196,177.6,8.67,0.273,15,Distracted
1764961866.1130166,177.72,8.62,0.275,15,Distracted
1764961866.1612868,177.72,8.0,0.275,15,Distracted
1764961866.2246034,177.54,7.8,0.278,15,Distracted
1764961866.2955973,177.32,7.78,0.276,15,Distracted
1764961866.357717,177.27,7.83,0.274,15,Distracted
1764961866.406053,176.99,7.78,0.273,15,Distracted
1764961866.479105,176.82,7.68,0.27,15,Distracted
1764961866.5422897,176.31,7.53,0.272,15,Distracted
1764961866.6039982,176.42,7.36,0.266,15,Distracted
1764961866.6969368,175.86,6.38,0.265,15,Distracted
1764961866.768219,175.57,5.74,0.272,15,Distracted
1764961866.8309221,175.11,6.06,0.263,15,Distracted
1764961866.8913393,175.41,5.96,0.268,15,Distracted
1764961866.965187,176.01,5.28,0.269,15,Distracted
1764961867.0279448,176.03,3.71,0.27,15,Distracted
1764961867.106296,176.4,2.9,0.264,15,Distracted
1764961867.1673052,176.65,1.55,0.267,15,Distracted
1764961867.2527676,177.05,0.83,0.268,15,Distracted
1764961867.3300045,176.91,-0.01,0.268,15,Distracted
1764961867.4024353,176.93,-0.29,0.266,15,Distracted
1764961867.4533522,176.47,-0.73,0.264,15,Distracted
1764961867.5059469,176.47,-0.59,0.256,15,Distracted
1764961867.5926661,176.67,-0.97,0.255,15,Distracted
1764961867.6648438,177.25,-1.3,0.257,15,Distracted
1764961867.7462842,177.29,-1.16,0.256,15,Distracted
1764961867.7957766,177.58,-1.37,0.253,15,Distracted
1764961867.8721616,177.48,-1.11,0.249,15,Distracted
1764961867.9598606,177.92,-0.86,0.252,15,Distracted
1764961868.0484853,178.35,-0.57,0.259,15,Distracted
1764961868.1275096,178.6,-0.08,0.264,15,Distracted
1764961868.2041283,178.82,0.28,0.266,15,Distracted
1764961868.2661772,178.89,0.27,0.261,15,Distracted
1764961868.323446,178.75,-0.67,0.261,15,Distracted
1764961868.3865361,178.36,-1.02,0.256,15,Distracted
1764961868.4480522,178.6,-1.0,0.262,15,Distracted
1764961868.5160728,178.84,-1.02,0.251,15,Distracted
1764961868.578941,178.85,-2.49,0.246,15,Distracted
1764961868.7522442,178.79,-3.68,0.245,15,Distracted
1764961868.8268783,0.06,-4.18,0.246,15,Focused
1764961868.9035568,-97.99,-3.24,0.237,15,Distracted
1764961868.953859,-151.63,-2.27,0.245,15,Distracted
1764961869.0365252,-1.0,-2.15,0.251,15,Focused
1764961869.1354046,-95.56,-2.29,0.256,15,Distracted
1764961869.1807833,-147.08,-1.88,0.267,15,Distracted
