timestamp_unix,pitch,yaw,ear,fps,state
1764962929.216844,178.71,3.46,0.198,0,Distracted
1764962929.32839,176.72,2.29,0.201,0,Distracted
1764962929.3415048,176.72,2.29,0.201,0,Distracted
1764962929.406838,175.82,1.55,0.213,0,Distracted
1764962929.4234214,175.82,1.55,0.213,29,Distracted
1764962929.4854512,175.8,0.93,0.228,29,Distracted
1764962929.4953094,175.8,0.93,0.228,29,Distracted
1764962929.5489054,175.87,0.88,0.228,29,Distracted
1764962929.564597,175.87,0.88,0.228,29,Distracted
1764962929.6378586,176.29,0.87,0.243,41,Distracted
1764962929.6555185,176.29,0.87,0.243,41,Distracted
1764962929.7337778,176.66,1.49,0.245,41,Distracted
1764962929.7458177,176.66,1.49,0.245,41,Distracted
1764962929.8227484,176.52,1.68,0.266,41,Distracted
1764962929.8447104,176.52,1.68,0.266,38,Distracted
1764962929.959487,176.54,1.31,0.272,38,Distracted
1764962929.9815524,176.54,1.31,0.272,38,Distracted
1764962930.0485387,176.81,1.03,0.272,38,Distracted
1764962930.0620122,176.81,1.03,0.272,38,Distracted
1764962930.1211808,176.99,1.21,0.268,39,Distracted
1764962930.1308055,176.99,1.21,0.268,39,Distracted
1764962930.2018566,177.27,1.71,0.266,39,Distracted
1764962930.2196357,177.27,1.71,0.266,39,Distracted
1764962930.3183033,177.4,1.54,0.264,39,Distracted
1764962930.3404238,177.4,1.54,0.264,39,Distracted
1764962930.4302342,177.53,1.51,0.267,39,Distracted
1764962930.4530854,177.53,1.51,0.267,39,Distracted
1764962930.5420468,177.4,2.11,0.267,39,Distracted
1764962930.5662074,177.4,2.11,0.267,39,Distracted
1764962930.6519651,176.58,2.5,0.273,38,Distracted
1764962930.6746957,176.58,2.5,0.273,38,Distracted
1764962930.748413,176.88,2.23,0.266,38,Distracted
1764962930.7655275,176.88,2.23,0.266,38,Distracted
1764962930.8351092,176.82,2.17,0.267,38,Distracted
1764962930.8535564,176.82,2.17,0.267,36,Distracted
1764962930.921532,177.03,1.92,0.26,36,Distracted
1764962930.9370644,177.03,1.92,0.26,36,Distracted
1764962930.9962158,177.52,1.76,0.276,36,Distracted
1764962931.0086577,177.52,1.76,0.276,36,Distracted
1764962931.0569935,177.82,1.68,0.28,37,Distracted
1764962931.069346,177.82,1.68,0.28,37,Distracted
1764962931.1221254,178.03,1.73,0.275,37,Distracted
1764962931.1351514,178.03,1.73,0.275,37,Distracted
1764962931.199193,178.27,1.83,0.281,37,Distracted
1764962931.216827,178.27,1.83,0.281,38,Distracted
1764962931.2826586,178.45,1.96,0.282,38,Distracted
1764962931.2974596,178.45,1.96,0.282,38,Distracted
1764962931.35887,178.03,1.68,0.228,38,Distracted
1764962931.3735955,178.03,1.68,0.228,38,Distracted
1764962931.431392,178.2,1.53,0.147,39,Distracted
1764962931.4430685,178.2,1.53,0.147,39,Distracted
1764962931.4942172,177.94,1.89,0.17,39,Distracted
1764962931.504493,177.94,1.89,0.17,39,Distracted
1764962931.5663977,177.61,2.37,0.208,39,Distracted
1764962931.5777667,177.61,2.37,0.208,39,Distracted
1764962931.639666,177.7,2.47,0.241,39,Distracted
1764962931.6578276,177.7,2.47,0.241,39,Distracted
1764962931.7096646,177.6,2.19,0.252,39,Distracted
1764962931.720179,177.6,2.19,0.252,39,Distracted
1764962931.7987034,177.8,2.13,0.261,40,Distracted
1764962931.810684,177.8,2.13,0.261,40,Distracted
1764962931.8894093,177.84,2.7,0.27,40,Distracted
1764962931.909534,177.84,2.7,0.27,40,Distracted
1764962931.9947088,177.66,2.93,0.274,40,Distracted
1764962932.012469,177.66,2.93,0.274,39,Distracted
1764962932.0927885,177.8,3.06,0.278,39,Distracted
1764962932.1104224,177.8,3.06,0.278,39,Distracted
1764962932.1758523,177.79,3.13,0.279,39,Distracted
1764962932.1911633,177.79,3.13,0.279,39,Distracted
1764962932.2586322,178.14,3.17,0.284,39,Distracted
1764962932.2732434,178.14,3.17,0.284,39,Distracted
1764962932.3435194,178.03,3.27,0.281,39,Distracted
1764962932.3614788,178.03,3.27,0.281,39,Distracted
1764962932.4256022,177.93,3.01,0.275,39,Distracted
1764962932.44303,177.93,3.01,0.275,39,Distracted
1764962932.511151,177.87,2.7,0.272,39,Distracted
1764962932.5283103,177.87,2.7,0.272,39,Distracted
1764962932.6013799,177.73,2.7,0.268,39,Distracted
1764962932.618496,177.73,2.7,0.268,39,Distracted
1764962932.68593,177.87,2.76,0.264,39,Distracted
1764962932.699328,177.87,2.76,0.264,39,Distracted
1764962932.7752154,177.81,3.14,0.266,39,Distracted
1764962932.792888,177.81,3.14,0.266,39,Distracted
1764962932.8779652,178.02,2.94,0.264,39,Distracted
1764962932.9021523,178.02,2.94,0.264,38,Distracted
1764962932.9799924,177.65,2.8,0.26,38,Distracted
1764962932.997733,177.65,2.8,0.26,38,Distracted
1764962933.070393,177.51,2.67,0.261,38,Distracted
1764962933.0859036,177.51,2.67,0.261,38,Distracted
1764962933.1499078,177.92,1.88,0.26,38,Distracted
1764962933.1640382,177.92,1.88,0.26,38,Distracted
1764962933.216053,178.13,1.2,0.258,38,Distracted
1764962933.2309217,178.13,1.2,0.258,38,Distracted
