timestamp_unix,pitch,yaw,ear,fps,state
1764963065.8466725,175.6,5.84,0.212,0,Distracted
1764963065.9093091,176.16,3.99,0.209,0,Distracted
1764963065.9297628,176.16,3.99,0.209,0,Distracted
1764963065.994205,176.28,2.55,0.191,0,Distracted
1764963066.0053391,176.28,2.55,0.191,25,Distracted
1764963066.06995,175.93,1.59,0.193,25,Distracted
1764963066.082582,175.93,1.59,0.193,25,Distracted
1764963066.15037,175.62,1.13,0.22,25,Distracted
1764963066.167104,175.62,1.13,0.22,25,Distracted
1764963066.2438884,175.34,1.35,0.236,40,Distracted
1764963066.2557194,175.34,1.35,0.236,40,Distracted
1764963066.3243184,175.0,1.9,0.235,40,Distracted
1764963066.34767,175.0,1.9,0.235,40,Distracted
1764963066.4136705,174.75,2.14,0.227,40,Distracted
1764963066.4284132,174.75,2.14,0.227,38,Distracted
1764963066.5492947,175.12,1.44,0.233,38,Distracted
1764963066.5783572,175.12,1.44,0.233,38,Distracted
1764963066.6603012,175.92,0.86,0.23,38,Distracted
1764963066.6746933,175.92,0.86,0.23,38,Distracted
1764963066.7932065,176.6,-0.07,0.245,33,Distracted
1764963066.8050306,176.6,-0.07,0.245,33,Distracted
1764963066.88368,177.37,-0.5,0.255,33,Distracted
1764963066.8985014,177.37,-0.5,0.255,33,Distracted
1764963067.0021982,177.87,-1.12,0.253,33,Distracted
1764963067.0231414,177.87,-1.12,0.253,31,Distracted
1764963067.117992,178.37,-1.88,0.253,31,Distracted
1764963067.1335416,178.37,-1.88,0.253,31,Distracted
1764963067.2284086,179.28,-3.31,0.249,31,Distracted
1764963067.2679338,179.28,-3.31,0.249,31,Distracted
1764963067.3449883,179.85,-4.74,0.244,28,Distracted
1764963067.3743377,179.85,-4.74,0.244,28,Distracted
1764963067.4922097,179.68,-5.28,0.243,28,Distracted
1764963067.5074997,179.68,-5.28,0.243,28,Distracted
1764963067.630775,0.51,-5.31,0.249,28,Focused
1764963067.645264,0.51,-5.31,0.249,27,Focused
1764963067.7434068,-97.18,-4.18,0.266,27,Distracted
1764963067.7619133,-97.18,-4.18,0.266,27,Distracted
1764963067.8490753,-150.27,-4.96,0.264,27,Distracted
1764963067.8721762,-150.27,-4.96,0.264,27,Distracted
1764963067.967721,-177.86,-5.09,0.263,26,Distracted
1764963067.9805982,-177.86,-5.09,0.263,26,Distracted
1764963068.0666509,-14.91,-5.57,0.171,26,Drowsy / Eyes Closed
1764963068.0902195,-14.91,-5.57,0.171,26,Drowsy / Eyes Closed
1764963068.210883,-102.02,-5.38,0.172,26,Distracted
1764963068.2234821,-102.02,-5.38,0.172,25,Distracted
1764963068.3354,30.1,-6.38,0.206,25,Distracted
1764963068.3487244,30.1,-6.38,0.206,25,Distracted
1764963068.43224,-75.68,-6.12,0.221,25,Distracted
1764963068.4516656,-75.68,-6.12,0.221,25,Distracted
1764963068.5548131,-133.46,-5.98,0.227,26,Distracted
1764963068.578998,-133.46,-5.98,0.227,26,Distracted
1764963068.6637561,-164.24,-6.77,0.239,26,Distracted
1764963068.6772141,-164.24,-6.77,0.239,26,Distracted
1764963068.7545147,-180.11,-7.07,0.251,26,Distracted
1764963068.773633,-180.11,-7.07,0.251,26,Distracted
1764963068.8589244,-187.36,-7.29,0.252,26,Distracted
1764963068.87634,-187.36,-7.29,0.252,26,Distracted
1764963068.9839983,-190.73,-7.45,0.251,26,Distracted
1764963069.0036676,-190.73,-7.45,0.251,26,Distracted
1764963069.1164477,-191.64,-6.34,0.237,27,Distracted
1764963069.1341915,-191.64,-6.34,0.237,27,Distracted
1764963069.2164025,-192.04,-5.65,0.237,27,Distracted
1764963069.2294257,-192.04,-5.65,0.237,27,Distracted
1764963069.3011909,-191.61,-5.57,0.231,27,Distracted
1764963069.313149,-191.61,-5.57,0.231,28,Distracted
1764963069.416899,-190.53,-5.37,0.231,28,Distracted
1764963069.4471178,-190.53,-5.37,0.231,28,Distracted
1764963069.5508974,-189.26,-5.01,0.239,28,Distracted
1764963069.5623405,-189.26,-5.01,0.239,28,Distracted
1764963069.6529555,-187.68,-4.48,0.236,29,Distracted
1764963069.6659539,-187.68,-4.48,0.236,29,Distracted
1764963069.7467752,-186.69,-3.22,0.229,29,Distracted
1764963069.7626646,-186.69,-3.22,0.229,29,Distracted
1764963069.8474002,-185.04,-2.34,0.229,29,Distracted
1764963069.8658993,-185.04,-2.34,0.229,29,Distracted
1764963069.9628642,-184.44,-2.87,0.231,29,Distracted
1764963069.976852,-184.44,-2.87,0.231,29,Distracted
1764963070.0747318,-183.4,-3.23,0.235,29,Distracted
1764963070.0907102,-183.4,-3.23,0.235,29,Distracted
1764963070.174847,-182.96,-3.86,0.231,30,Distracted
1764963070.1861696,-182.96,-3.86,0.231,30,Distracted
1764963070.2616808,-182.62,-3.94,0.231,30,Distracted
1764963070.271046,-182.62,-3.94,0.231,30,Distracted
1764963070.3502367,-182.12,-4.33,0.233,30,Distracted
1764963070.3622453,-182.12,-4.33,0.233,31,Distracted
1764963070.4527225,-181.85,-5.13,0.239,31,Distracted
1764963070.4699368,-181.85,-5.13,0.239,31,Distracted
1764963070.5905979,-181.36,-5.47,0.237,31,Distracted
1764963070.6062987,-181.36,-5.47,0.237,31,Distracted
1764963070.7112668,-181.01,-4.47,0.248,31,Distracted
1764963070.7341182,-181.01,-4.47,0.248,31,Distracted
1764963070.809983,-180.28,-3.35,0.248,31,Distracted
1764963070.8229637,-180.28,-3.35,0.248,31,Distracted
1764963070.9153554,-180.85,-2.38,0.25,31,Distracted
1764963070.9273043,-180.85,-2.38,0.25,31,Distracted
1764963071.0030386,-180.05,-1.09,0.255,31,Distracted
1764963071.0129392,-180.05,-1.09,0.255,31,Distracted
1764963071.0957649,-179.91,-0.21,0.256,31,Distracted
1764963071.109765,-179.91,-0.21,0.256,31,Distracted
1764963071.1968307,-180.34,0.19,0.243,33,Distracted
1764963071.2098916,-180.34,0.19,0.243,33,Distracted
1764963071.2878973,-1.33,-0.55,0.25,33,Focused
1764963071.2996743,-1.33,-0.55,0.25,33,Focused
1764963071.3693461,-82.33,-0.95,0.255,33,Distracted
1764963071.3824098,-82.33,-0.95,0.255,33,Distracted
1764963071.4659827,51.02,0.88,0.251,33,Distracted
1764963071.4805202,51.02,0.88,0.251,33,Distracted
1764963071.5935252,123.64,0.0,0.247,33,Distracted
1764963071.6105304,123.64,0.0,0.247,33,Distracted
1764963071.6930776,162.15,0.01,0.245,33,Distracted
1764963071.7043068,162.15,0.01,0.245,33,Distracted
1764963071.7950423,182.86,-1.29,0.24,33,Distracted
1764963071.8186383,182.86,-1.29,0.24,33,Distracted
1764963071.917411,192.69,-2.09,0.235,33,Distracted
1764963071.9319394,192.69,-2.09,0.235,33,Distracted
1764963072.005352,197.15,-2.51,0.231,33,Distracted
1764963072.0203273,197.15,-2.51,0.231,33,Distracted
1764963072.091893,197.38,-2.2,0.222,33,Distracted
1764963072.1065516,197.38,-2.2,0.222,33,Distracted
1764963072.1799808,196.36,-1.72,0.233,35,Distracted
1764963072.190745,196.36,-1.72,0.233,35,Distracted
1764963072.291019,193.74,-0.34,0.229,35,Distracted
1764963072.3075678,193.74,-0.34,0.229,35,Distracted
1764963072.391893,190.73,0.96,0.221,35,Distracted
1764963072.4080367,190.73,0.96,0.221,35,Distracted
1764963072.4970496,188.6,1.15,0.192,35,Distracted
1764963072.5210314,188.6,1.15,0.192,35,Distracted
1764963072.6284685,188.3,0.96,0.177,35,Distracted
1764963072.649135,188.3,0.96,0.177,35,Distracted
1764963072.7370672,186.9,0.96,0.18,36,Distracted
1764963072.7470505,186.9,0.96,0.18,36,Distracted
1764963072.83232,185.09,0.37,0.195,36,Distracted
1764963072.843027,185.09,0.37,0.195,36,Distracted
1764963072.9371674,182.57,0.34,0.191,36,Distracted
1764963072.963075,182.57,0.34,0.191,37,Distracted
1764963073.0699186,181.24,0.28,0.194,37,Distracted
1764963073.0822365,181.24,0.28,0.194,37,Distracted
1764963073.156952,180.31,-0.01,0.195,37,Distracted
1764963073.1719978,180.31,-0.01,0.195,37,Distracted
1764963073.2627003,179.49,0.04,0.202,38,Distracted
1764963073.2746139,179.49,0.04,0.202,38,Distracted
1764963073.357017,179.92,0.29,0.209,38,Distracted
1764963073.3734217,179.92,0.29,0.209,38,Distracted
1764963073.4798505,179.53,0.23,0.206,38,Distracted
1764963073.4907994,179.53,0.23,0.206,39,Distracted
1764963073.5785353,179.75,0.52,0.206,39,Distracted
1764963073.5890462,179.75,0.52,0.206,39,Distracted
1764963073.6701427,179.18,0.51,0.211,39,Distracted
1764963073.6818125,179.18,0.51,0.211,39,Distracted
1764963073.7525756,178.85,0.24,0.21,40,Distracted
1764963073.7685096,178.85,0.24,0.21,40,Distracted
1764963073.854246,177.79,-0.14,0.213,40,Distracted
1764963073.8676896,177.79,-0.14,0.213,40,Distracted
1764963073.943162,176.74,-0.52,0.242,40,Distracted
1764963073.953161,176.74,-0.52,0.242,41,Distracted
1764963074.0243974,176.41,-0.95,0.25,41,Distracted
1764963074.046408,176.41,-0.95,0.25,41,Distracted
1764963074.1288435,175.84,-1.37,0.25,41,Distracted
1764963074.1400044,175.84,-1.37,0.25,41,Distracted
1764963074.2109027,175.39,-2.05,0.253,41,Distracted
1764963074.2210152,175.39,-2.05,0.253,41,Distracted
1764963074.2934806,175.39,-2.2,0.242,41,Distracted
1764963074.3050017,175.39,-2.2,0.242,41,Distracted
1764963074.4036953,176.72,-3.45,0.249,41,Distracted
1764963074.4186616,176.72,-3.45,0.249,42,Distracted
1764963074.494029,176.95,-6.05,0.259,42,Distracted
1764963074.5125005,176.95,-6.05,0.259,42,Distracted
1764963074.5886803,177.92,-4.86,0.235,42,Distracted
1764963074.6003783,177.92,-4.86,0.235,42,Distracted
1764963074.6780565,1.44,-2.96,0.146,42,Drowsy / Eyes Closed
1764963074.6943724,1.44,-2.96,0.146,42,Drowsy / Eyes Closed
1764963074.7841208,-95.3,-0.95,0.177,42,Distracted
1764963074.8040094,-95.3,-0.95,0.177,42,Distracted
1764963074.878971,-144.89,-0.02,0.177,42,Distracted
1764963074.8926153,-144.89,-0.02,0.177,42,Distracted
1764963074.9846654,-171.88,-0.31,0.223,42,Distracted
1764963074.9946597,-171.88,-0.31,0.223,42,Distracted
1764963075.0823205,-185.74,-0.09,0.246,42,Distracted
1764963075.096485,-185.74,-0.09,0.246,42,Distracted
1764963075.179232,-192.37,0.63,0.26,42,Distracted
1764963075.1923382,-192.37,0.63,0.26,42,Distracted
1764963075.2694538,-195.62,-0.01,0.282,42,Distracted
1764963075.2874634,-195.62,-0.01,0.282,42,Distracted
1764963075.3592386,-196.89,1.07,0.232,42,Distracted
1764963075.370931,-196.89,1.07,0.232,41,Distracted
1764963075.4404638,-197.21,-0.3,0.191,41,Distracted
1764963075.450778,-197.21,-0.3,0.191,41,Distracted
1764963075.520479,-196.39,-3.57,0.234,41,Distracted
1764963075.5314114,-196.39,-3.57,0.234,41,Distracted
1764963075.6195092,-193.67,-5.07,0.232,42,Distracted
1764963075.6343472,-193.67,-5.07,0.232,42,Distracted
1764963075.7107992,-15.42,-10.17,0.236,42,Focused
1764963075.7245224,-15.42,-10.17,0.236,42,Focused
1764963075.7980843,-94.9,-6.52,0.242,42,Distracted
1764963075.812843,-94.9,-6.52,0.242,43,Distracted
1764963075.8836524,-137.04,-1.24,0.284,43,Distracted
1764963075.8934367,-137.04,-1.24,0.284,43,Distracted
1764963075.9637227,16.82,0.0,0.282,43,Focused
1764963075.9739969,16.82,0.0,0.282,43,Focused
1764963076.0505257,102.35,-0.74,0.266,43,Distracted
1764963076.0627708,102.35,-0.74,0.266,43,Distracted
1764963076.1324506,146.68,1.33,0.272,43,Distracted
1764963076.1461287,146.68,1.33,0.272,43,Distracted
1764963076.219376,-5.81,3.03,0.273,43,Focused
1764963076.2440507,-5.81,3.03,0.273,43,Focused
1764963076.3287737,-90.27,3.4,0.259,43,Distracted
1764963076.3432696,-90.27,3.4,0.259,43,Distracted
1764963076.4174821,-137.49,2.41,0.238,43,Distracted
1764963076.428431,-137.49,2.41,0.238,43,Distracted
1764963076.5832899,-162.63,2.54,0.253,42,Distracted
1764963076.6583846,-162.63,2.54,0.253,42,Distracted
1764963076.8716042,-177.05,-0.02,0.243,42,Distracted
1764963076.9057672,-177.05,-0.02,0.243,42,Distracted
1764963077.021905,-184.18,-1.26,0.245,42,Distracted
1764963077.0536377,-184.18,-1.26,0.245,41,Distracted
1764963077.1590843,-186.99,-3.1,0.258,41,Distracted
1764963077.1794116,-186.99,-3.1,0.258,41,Distracted
1764963077.367197,-188.12,-3.86,0.246,41,Distracted
1764963077.4508822,-188.12,-3.86,0.246,41,Distracted
1764963077.7710907,-188.04,-5.22,0.24,39,Distracted
1764963077.8526886,-188.04,-5.22,0.24,39,Distracted
1764963078.180853,-9.6,-6.21,0.239,39,Focused
1764963078.3785853,-9.6,-6.21,0.239,39,Focused
1764963078.8460872,-89.22,-4.87,0.245,39,Distracted
1764963078.9500368,-89.22,-4.87,0.245,38,Distracted
1764963079.1513827,-129.86,-4.0,0.221,38,Distracted
1764963079.1684396,-129.86,-4.0,0.221,38,Distracted
1764963079.3954823,-153.16,-3.86,0.164,38,Distracted
1764963079.5801272,-153.16,-3.86,0.164,38,Distracted
1764963079.7724855,-165.85,-3.94,0.158,36,Distracted
1764963079.8356895,-165.85,-3.94,0.158,36,Distracted
1764963080.0375283,-172.39,-4.53,0.147,36,Distracted
1764963080.0478933,-172.39,-4.53,0.147,36,Distracted
1764963080.1089027,-176.16,-5.78,0.13,36,Distracted
1764963080.1209168,-176.16,-5.78,0.13,35,Distracted
1764963080.2337122,-177.95,-7.35,0.091,35,Distracted
1764963080.264501,-177.95,-7.35,0.091,35,Distracted
1764963080.4493318,-1.75,-8.16,0.135,35,Drowsy / Eyes Closed
1764963080.4718733,-1.75,-8.16,0.135,35,Drowsy / Eyes Closed
1764963080.7467444,94.45,-10.2,0.175,34,Distracted
1764963080.905437,94.45,-10.2,0.175,34,Distracted
1764963081.163633,94.45,-10.2,0.175,34,Distracted
1764963081.2413065,94.45,-10.2,0.175,34,Distracted
1764963081.4078467,146.64,-3.34,0.147,34,Distracted
1764963081.4963915,146.64,-3.34,0.147,32,Distracted
1764963081.688278,146.64,-3.34,0.147,32,Distracted
1764963081.9042923,146.64,-3.34,0.147,32,Distracted
1764963082.0872793,174.83,1.32,0.171,32,Distracted
1764963082.1784713,174.83,1.32,0.171,32,Distracted
1764963082.461231,174.83,1.32,0.171,30,Distracted
1764963082.5060892,174.83,1.32,0.171,30,Distracted
1764963082.787727,188.33,-1.31,0.194,30,Distracted
1764963083.008947,188.33,-1.31,0.194,30,Distracted
1764963083.3645961,195.11,-1.81,0.203,30,Distracted
1764963083.4077387,195.11,-1.81,0.203,28,Distracted
1764963083.7206054,20.09,-3.11,0.218,28,Distracted
1764963083.8054183,20.09,-3.11,0.218,28,Distracted
1764963084.0219176,-76.35,-3.99,0.218,28,Distracted
1764963084.0622818,-76.35,-3.99,0.218,28,Distracted
1764963084.2849152,-131.0,-4.02,0.222,26,Distracted
1764963084.4696057,-131.0,-4.02,0.222,26,Distracted
1764963084.8231115,-161.37,-3.73,0.205,26,Distracted
1764963084.8337116,-161.37,-3.73,0.205,26,Distracted
1764963084.9504719,-176.58,-3.89,0.198,26,Distracted
1764963085.0420883,-176.58,-3.89,0.198,24,Distracted
1764963085.26158,-183.68,-4.58,0.19,24,Distracted
1764963085.441155,-183.68,-4.58,0.19,24,Distracted
1764963085.6260388,-187.45,-5.63,0.236,24,Distracted
1764963085.6991751,-187.45,-5.63,0.236,24,Distracted
1764963085.9088979,-189.61,-4.42,0.244,22,Distracted
1764963085.9629552,-189.61,-4.42,0.244,22,Distracted
1764963086.3232563,-190.42,-2.83,0.241,22,Distracted
1764963086.504358,-190.42,-2.83,0.241,22,Distracted
1764963086.6514065,-10.52,-2.18,0.241,22,Focused
1764963086.7012613,-10.52,-2.18,0.241,21,Focused
1764963087.0493412,88.82,-3.0,0.242,21,Distracted
1764963087.1738594,88.82,-3.0,0.242,21,Distracted
1764963087.3509507,135.14,-18.09,0.204,21,Distracted
1764963087.562512,135.14,-18.09,0.204,21,Distracted
1764963087.7600834,166.16,-13.46,0.191,19,Distracted
1764963087.8184905,166.16,-13.46,0.191,19,Distracted
1764963087.9185374,182.24,-9.74,0.191,19,Distracted
1764963087.960649,182.24,-9.74,0.191,19,Distracted
1764963088.0600939,189.96,-8.2,0.148,19,Distracted
1764963088.0907762,189.96,-8.2,0.148,18,Distracted
1764963088.2071702,192.9,-3.18,0.133,18,Distracted
1764963088.2182715,192.9,-3.18,0.133,18,Distracted
1764963088.323865,188.95,0.07,0.13,18,Distracted
1764963088.3939111,188.95,0.07,0.13,18,Distracted
1764963088.5470452,189.79,2.74,0.137,16,Distracted
1764963088.591468,189.79,2.74,0.137,16,Distracted
1764963088.7112238,191.35,3.92,0.153,16,Distracted
1764963088.7233238,191.35,3.92,0.153,16,Distracted
1764963088.8482323,191.28,4.35,0.156,16,Distracted
1764963088.8659883,191.28,4.35,0.156,15,Distracted
1764963088.9286363,190.87,4.13,0.164,15,Distracted
1764963088.9466453,190.87,4.13,0.164,15,Distracted
1764963089.0028868,189.71,4.59,0.165,15,Distracted
1764963089.0187583,189.71,4.59,0.165,15,Distracted
1764963089.1075869,188.1,4.43,0.169,14,Distracted
1764963089.1287482,188.1,4.43,0.169,14,Distracted
1764963089.2297735,186.39,4.61,0.175,14,Distracted
1764963089.2499647,186.39,4.61,0.175,14,Distracted
1764963089.3161013,185.01,4.76,0.176,14,Distracted
1764963089.3305645,185.01,4.76,0.176,13,Distracted
1764963089.4032035,184.17,5.15,0.178,13,Distracted
1764963089.419389,184.17,5.15,0.178,13,Distracted
1764963089.5307708,183.79,6.02,0.152,13,Distracted
1764963089.5490184,183.79,6.02,0.152,13,Distracted
1764963089.6579278,183.07,6.39,0.161,12,Distracted
1764963089.6695092,183.07,6.39,0.161,12,Distracted
1764963089.7249026,181.95,7.27,0.159,12,Distracted
1764963089.73626,181.95,7.27,0.159,12,Distracted
1764963089.7994275,180.77,7.96,0.175,12,Distracted
1764963089.8149028,180.77,7.96,0.175,13,Distracted
1764963089.875084,180.51,8.18,0.181,13,Distracted
1764963089.888327,180.51,8.18,0.181,13,Distracted
1764963089.9827955,179.27,8.22,0.167,13,Distracted
1764963089.9966834,179.27,8.22,0.167,13,Distracted
1764963090.0864124,179.44,8.19,0.18,14,Distracted
1764963090.096618,179.44,8.19,0.18,14,Distracted
1764963090.166514,178.25,8.53,0.191,14,Distracted
1764963090.185643,178.25,8.53,0.191,14,Distracted
1764963090.240551,177.6,8.11,0.183,14,Distracted
1764963090.25482,177.6,8.11,0.183,15,Distracted
1764963090.3186333,176.93,8.19,0.173,15,Distracted
1764963090.330247,176.93,8.19,0.173,15,Distracted
1764963090.390228,176.81,8.18,0.172,15,Distracted
1764963090.4051602,176.81,8.18,0.172,15,Distracted
1764963090.470775,175.91,8.0,0.175,18,Distracted
1764963090.4826314,175.91,8.0,0.175,18,Distracted
1764963090.532236,175.43,8.51,0.179,18,Distracted
1764963090.5426054,175.43,8.51,0.179,18,Distracted
1764963090.5942657,176.31,8.64,0.199,18,Distracted
1764963090.6167102,176.31,8.64,0.199,19,Distracted
1764963090.6981683,177.41,7.92,0.21,19,Distracted
1764963090.7127967,177.41,7.92,0.21,19,Distracted
1764963090.7732766,178.1,7.91,0.207,19,Distracted
1764963090.7845194,178.1,7.91,0.207,19,Distracted
1764963090.829907,178.42,7.88,0.208,21,Distracted
1764963090.8409178,178.42,7.88,0.208,21,Distracted
1764963090.8869417,178.57,7.99,0.215,21,Distracted
1764963090.89654,178.57,7.99,0.215,21,Distracted
1764963090.9734993,178.24,8.67,0.217,21,Distracted
1764963090.9952636,178.24,8.67,0.217,23,Distracted
1764963091.044886,178.02,8.97,0.219,23,Distracted
1764963091.0607493,178.02,8.97,0.219,23,Distracted
1764963091.116949,177.72,8.77,0.221,23,Distracted
1764963091.1309855,177.72,8.77,0.221,23,Distracted
1764963091.1847763,177.6,8.9,0.225,25,Distracted
1764963091.1958737,177.6,8.9,0.225,25,Distracted
1764963091.2468798,177.64,9.25,0.218,25,Distracted
1764963091.2610006,177.64,9.25,0.218,25,Distracted
1764963091.3509457,177.31,9.35,0.213,25,Distracted
1764963091.370672,177.31,9.35,0.213,27,Distracted
1764963091.4409833,177.09,9.32,0.212,27,Distracted
1764963091.4578397,177.09,9.32,0.212,27,Distracted
1764963091.5154173,177.14,9.27,0.212,27,Distracted
1764963091.526738,177.14,9.27,0.212,27,Distracted
1764963091.5774522,177.11,9.39,0.21,29,Distracted
1764963091.5906436,177.11,9.39,0.21,29,Distracted
1764963091.6587842,176.9,9.34,0.211,29,Distracted
1764963091.6731725,176.9,9.34,0.211,29,Distracted
1764963091.725046,176.45,9.02,0.207,29,Distracted
1764963091.7380695,176.45,9.02,0.207,31,Distracted
1764963091.7965605,176.04,8.87,0.209,31,Distracted
1764963091.8705766,176.04,8.87,0.209,31,Distracted
1764963091.9335268,175.85,9.15,0.215,31,Distracted
1764963091.9484856,175.85,9.15,0.215,31,Distracted
1764963092.0051768,175.78,9.35,0.217,33,Distracted
1764963092.0267704,175.78,9.35,0.217,33,Distracted
1764963092.0877843,175.8,9.28,0.218,33,Distracted
1764963092.0983536,175.8,9.28,0.218,33,Distracted
1764963092.145071,175.71,8.73,0.21,33,Distracted
1764963092.1583767,175.71,8.73,0.21,34,Distracted
1764963092.2194474,175.88,6.68,0.212,34,Distracted
1764963092.2314065,175.88,6.68,0.212,34,Distracted
1764963092.2808566,177.74,4.98,0.188,34,Distracted
1764963092.2927604,177.74,4.98,0.188,34,Distracted
1764963092.3410902,178.45,3.11,0.178,37,Distracted
1764963092.358332,178.45,3.11,0.178,37,Distracted
1764963092.424852,179.17,2.28,0.171,37,Distracted
1764963092.4380815,179.17,2.28,0.171,37,Distracted
1764963092.4835162,178.99,0.99,0.139,37,Distracted
1764963092.4928691,178.99,0.99,0.139,38,Distracted
1764963092.5398412,178.39,-1.5,0.136,38,Distracted
1764963092.5488172,178.39,-1.5,0.136,38,Distracted
1764963092.62049,177.54,-2.36,0.169,38,Distracted
1764963092.6335022,177.54,-2.36,0.169,38,Distracted
1764963092.7064846,177.6,-3.13,0.168,41,Distracted
1764963092.7356908,177.6,-3.13,0.168,41,Distracted
1764963092.7972636,178.43,-2.47,0.172,41,Distracted
1764963092.8083909,178.43,-2.47,0.172,41,Distracted
1764963092.8522894,179.05,-2.01,0.18,41,Distracted
1764963092.8630638,179.05,-2.01,0.18,42,Distracted
1764963092.9081793,179.06,-2.0,0.178,42,Distracted
1764963092.91716,179.06,-2.0,0.178,42,Distracted
1764963092.9620502,179.13,-1.28,0.177,42,Distracted
1764963092.970702,179.13,-1.28,0.177,42,Distracted
1764963093.0183258,178.97,-1.2,0.174,44,Distracted
1764963093.0297484,178.97,-1.2,0.174,44,Distracted
1764963093.090572,179.22,-1.52,0.18,44,Distracted
1764963093.1033819,179.22,-1.52,0.18,44,Distracted
1764963093.1809232,179.41,-2.19,0.167,44,Distracted
1764963093.2018,179.41,-2.19,0.167,45,Distracted
1764963093.2631278,178.49,-3.6,0.19,45,Distracted
1764963093.2753959,178.49,-3.6,0.19,45,Distracted
1764963093.3283236,177.89,-4.01,0.193,45,Distracted
1764963093.3388364,177.89,-4.01,0.193,45,Distracted
1764963093.6185849,178.24,-4.35,0.198,45,Distracted
1764963093.68167,178.24,-4.35,0.198,45,Distracted
1764963094.0369039,178.5,-4.16,0.196,45,Distracted
1764963094.0747547,178.5,-4.16,0.196,45,Distracted
1764963094.203105,178.38,-3.66,0.203,45,Distracted
1764963094.2199693,178.38,-3.66,0.203,44,Distracted
1764963094.3234875,178.96,-3.23,0.207,44,Distracted
1764963094.3449237,178.96,-3.23,0.207,44,Distracted
1764963094.496935,178.33,-3.25,0.239,44,Distracted
1764963094.5079334,178.33,-3.25,0.239,44,Distracted
1764963094.6023467,178.37,-3.62,0.246,43,Distracted
1764963094.6135192,178.37,-3.62,0.246,43,Distracted
1764963094.725926,178.48,-3.7,0.244,43,Distracted
1764963094.745817,178.48,-3.7,0.244,43,Distracted
1764963094.8799193,178.56,-3.42,0.238,43,Distracted
1764963094.9064963,178.56,-3.42,0.238,43,Distracted
1764963095.0793734,178.61,-3.46,0.241,43,Distracted
1764963095.1004443,178.61,-3.46,0.241,43,Distracted
1764963095.1825478,178.93,-3.32,0.231,43,Distracted
1764963095.2556162,178.93,-3.32,0.231,43,Distracted
1764963095.436117,178.94,-3.2,0.234,41,Distracted
1764963095.6583161,178.94,-3.2,0.234,41,Distracted
1764963095.8286893,178.04,-3.84,0.248,41,Distracted
1764963095.8980734,178.04,-3.84,0.248,41,Distracted
