timestamp_unix,pitch,yaw,ear,fps,state
1764963288.8612525,171.61,8.62,0.223,0,Distracted
1764963288.9533503,172.12,7.86,0.214,0,Distracted
1764963288.9760067,172.12,7.86,0.214,0,Distracted
1764963289.07953,172.31,7.2,0.211,0,Distracted
1764963289.108577,172.31,7.2,0.211,21,Distracted
1764963289.188282,172.35,6.89,0.207,21,Distracted
1764963289.204554,172.35,6.89,0.207,21,Distracted
1764963289.2694404,172.34,7.09,0.207,21,Distracted
1764963289.2884223,172.34,7.09,0.207,21,Distracted
1764963289.3936098,171.54,6.15,0.228,26,Distracted
1764963289.411791,171.54,6.15,0.228,26,Distracted
1764963289.5242605,170.98,5.58,0.236,26,Distracted
1764963289.550189,170.98,5.58,0.236,26,Distracted
1764963289.649761,170.77,5.22,0.231,26,Distracted
1764963289.6755037,170.77,5.22,0.231,24,Distracted
1764963289.7679195,170.66,4.57,0.23,24,Distracted
1764963289.7917142,170.66,4.57,0.23,24,Distracted
1764963289.870249,170.9,4.71,0.231,24,Distracted
1764963289.8923318,170.9,4.71,0.231,24,Distracted
1764963289.9844193,171.03,4.54,0.234,24,Distracted
1764963289.997331,171.03,4.54,0.234,24,Distracted
1764963290.0837665,171.41,4.2,0.229,24,Distracted
1764963290.10672,171.41,4.2,0.229,24,Distracted
1764963290.2171931,171.57,3.65,0.233,24,Distracted
1764963290.2287033,171.57,3.65,0.233,23,Distracted
1764963290.327308,171.49,3.75,0.229,23,Distracted
1764963290.3454692,171.49,3.75,0.229,23,Distracted
1764963290.46551,171.37,3.49,0.224,23,Distracted
1764963290.4853992,171.37,3.49,0.224,23,Distracted
1764963290.586117,171.13,3.25,0.224,22,Distracted
1764963290.6040034,171.13,3.25,0.224,22,Distracted
1764963290.7183228,170.67,2.85,0.231,22,Distracted
1764963290.7340643,170.67,2.85,0.231,22,Distracted
1764963290.823394,170.33,2.51,0.242,22,Distracted
1764963290.8424213,170.33,2.51,0.242,21,Distracted
1764963290.937423,169.69,2.52,0.235,21,Distracted
1764963290.9499419,169.69,2.52,0.235,21,Distracted
1764963291.0404308,169.07,3.3,0.169,21,Distracted
1764963291.0571108,169.07,3.3,0.169,21,Distracted
1764963291.1222656,169.06,2.83,0.179,22,Distracted
1764963291.1441119,169.06,2.83,0.179,22,Distracted
1764963291.2444797,169.06,2.72,0.202,22,Distracted
1764963291.2672372,169.06,2.72,0.202,22,Distracted
1764963291.350571,169.2,2.83,0.205,22,Distracted
1764963291.3689978,169.2,2.83,0.205,23,Distracted
1764963291.432889,169.62,3.8,0.207,23,Distracted
1764963291.444421,169.62,3.8,0.207,23,Distracted
1764963291.503731,169.73,4.02,0.214,23,Distracted
1764963291.5148962,169.73,4.02,0.214,23,Distracted
1764963291.5796728,170.26,4.37,0.213,26,Distracted
1764963291.5998082,170.26,4.37,0.213,26,Distracted
1764963291.6715167,169.47,5.54,0.214,26,Distracted
1764963291.6899374,169.47,5.54,0.214,26,Distracted
1764963291.7607863,168.99,6.85,0.215,26,Distracted
1764963291.7761157,168.99,6.85,0.215,26,Distracted
1764963291.8420727,168.53,7.54,0.208,26,Distracted
1764963291.8557887,168.53,7.54,0.208,26,Distracted
1764963291.9064872,168.32,8.39,0.216,26,Distracted
1764963291.9186633,168.32,8.39,0.216,26,Distracted
1764963291.9804153,167.96,8.83,0.203,29,Distracted
