timestamp_unix,pitch,yaw,ear,fps,state
1764963316.4443128,178.48,7.32,0.217,0,Distracted
1764963316.5481327,179.41,7.94,0.242,0,Distracted
1764963316.5729053,179.41,7.94,0.242,0,Distracted
1764963316.6691577,179.41,8.0,0.238,0,Distracted
1764963316.691533,179.41,8.0,0.238,19,Distracted
1764963316.780488,179.98,8.0,0.248,19,Distracted
1764963316.7956276,179.98,8.0,0.248,19,Distracted
1764963316.8847983,0.79,7.99,0.238,19,Focused
1764963316.9063053,0.79,7.99,0.238,19,Focused
1764963317.0040796,81.64,8.69,0.232,29,Distracted
1764963317.0213184,81.64,8.69,0.232,29,Distracted
1764963317.114076,126.47,8.57,0.247,29,Distracted
1764963317.1308634,126.47,8.57,0.247,29,Distracted
1764963317.1973908,151.12,8.14,0.257,29,Distracted
1764963317.2152853,151.12,8.14,0.257,29,Distracted
1764963317.2817469,165.35,8.03,0.265,29,Distracted
1764963317.2965784,165.35,8.03,0.265,29,Distracted
1764963317.3835948,173.12,7.6,0.244,29,Distracted
1764963317.4033272,173.12,7.6,0.244,29,Distracted
1764963317.4883378,177.53,7.4,0.221,32,Distracted
1764963317.5054998,177.53,7.4,0.221,32,Distracted
1764963317.5813224,179.42,7.02,0.209,32,Distracted
1764963317.5940602,179.42,7.02,0.209,32,Distracted
1764963317.6521986,180.45,6.71,0.217,32,Distracted
1764963317.6620343,180.45,6.71,0.217,32,Distracted
1764963317.7178135,180.7,6.44,0.218,32,Distracted
1764963317.7282531,180.7,6.44,0.218,32,Distracted
1764963317.7759626,180.11,6.22,0.22,32,Distracted
1764963317.7852235,180.11,6.22,0.22,32,Distracted
1764963317.8505912,179.84,6.3,0.225,37,Distracted
1764963317.867293,179.84,6.3,0.225,37,Distracted
1764963317.9457924,179.49,5.83,0.234,37,Distracted
1764963317.9625647,179.49,5.83,0.234,37,Distracted
1764963318.0142763,179.44,6.69,0.249,37,Distracted
1764963318.0292919,179.44,6.69,0.249,37,Distracted
1764963318.124455,179.62,7.63,0.262,37,Distracted
1764963318.1430542,179.62,7.63,0.262,37,Distracted
1764963318.2389953,179.37,8.43,0.255,37,Distracted
1764963318.2508776,179.37,8.43,0.255,37,Distracted
1764963318.3725164,178.91,8.26,0.245,35,Distracted
1764963318.3912573,178.91,8.26,0.245,35,Distracted
1764963318.4963765,178.89,7.1,0.249,35,Distracted
1764963318.509463,178.89,7.1,0.249,35,Distracted
1764963318.5991702,178.47,5.54,0.256,35,Distracted
1764963318.6144874,178.47,5.54,0.256,33,Distracted
1764963318.7421396,178.2,3.51,0.261,33,Distracted
1764963318.7578518,178.2,3.51,0.261,33,Distracted
1764963318.8241801,177.56,0.98,0.261,33,Distracted
1764963318.8420618,177.56,0.98,0.261,33,Distracted
1764963318.907587,177.63,-0.68,0.261,33,Distracted
1764963318.9226575,177.63,-0.68,0.261,33,Distracted
1764963318.9790285,178.07,-2.78,0.265,33,Distracted
1764963318.9902608,178.07,-2.78,0.265,33,Distracted
1764963319.0558405,178.28,-3.82,0.269,33,Distracted
1764963319.070796,178.28,-3.82,0.269,33,Distracted
1764963319.1472406,177.74,-4.39,0.269,33,Distracted
1764963319.1635568,177.74,-4.39,0.269,33,Distracted
1764963319.2246163,177.08,-5.18,0.271,33,Distracted
1764963319.2414165,177.08,-5.18,0.271,33,Distracted
1764963319.299483,176.75,-5.14,0.256,34,Distracted
1764963319.3081815,176.75,-5.14,0.256,34,Distracted
1764963319.3698945,176.25,-4.24,0.163,34,Distracted
1764963319.3902302,176.25,-4.24,0.163,34,Distracted
1764963319.4608223,176.89,-4.37,0.12,34,Distracted
1764963319.480717,176.89,-4.37,0.12,34,Distracted
1764963319.5457602,-0.81,-4.18,0.133,34,Drowsy / Eyes Closed
1764963319.5547886,-0.81,-4.18,0.133,34,Drowsy / Eyes Closed
1764963319.603188,-99.14,-4.15,0.176,34,Distracted
1764963319.6212862,-99.14,-4.15,0.176,34,Distracted
1764963319.691068,-151.87,-3.55,0.205,35,Distracted
1764963319.70617,-151.87,-3.55,0.205,35,Distracted
1764963319.7731326,-179.03,-3.26,0.213,35,Distracted
1764963319.7852514,-179.03,-3.26,0.213,35,Distracted
1764963319.8552322,-192.56,-3.31,0.221,35,Distracted
1764963319.872007,-192.56,-3.31,0.221,35,Distracted
1764963319.938133,-198.26,-2.58,0.231,35,Distracted
1764963319.9549677,-198.26,-2.58,0.231,35,Distracted
1764963320.0281107,-200.06,-2.0,0.232,35,Distracted
1764963320.0436597,-200.06,-2.0,0.232,35,Distracted
1764963320.1187077,-199.64,-1.58,0.233,36,Distracted
1764963320.1356437,-199.64,-1.58,0.233,36,Distracted
1764963320.1941617,-198.57,-1.06,0.234,36,Distracted
1764963320.2109835,-198.57,-1.06,0.234,36,Distracted
1764963320.2923834,-196.74,-0.7,0.232,36,Distracted
1764963320.3129966,-196.74,-0.7,0.232,36,Distracted
1764963320.397266,-194.89,-0.42,0.232,36,Distracted
1764963320.4206033,-194.89,-0.42,0.232,36,Distracted
1764963320.4917123,-192.81,-0.14,0.233,36,Distracted
1764963320.5089273,-192.81,-0.14,0.233,36,Distracted
1764963320.5622437,-190.49,-0.07,0.232,36,Distracted
1764963320.576561,-190.49,-0.07,0.232,36,Distracted
1764963320.6323922,-189.11,0.06,0.233,36,Distracted
1764963320.64719,-189.11,0.06,0.233,36,Distracted
1764963320.73026,-187.69,0.12,0.233,36,Distracted
1764963320.743377,-187.69,0.12,0.233,36,Distracted
1764963320.8234499,-186.28,0.22,0.235,36,Distracted
1764963320.837088,-186.28,0.22,0.235,36,Distracted
1764963320.9118657,-185.25,0.02,0.239,36,Distracted
1764963320.9245658,-185.25,0.02,0.239,36,Distracted
1764963320.9920714,-184.67,-0.35,0.242,36,Distracted
1764963321.0034883,-184.67,-0.35,0.242,36,Distracted
1764963321.0637307,-184.13,-0.6,0.241,36,Distracted
1764963321.0760157,-184.13,-0.6,0.241,36,Distracted
1764963321.1369636,-183.59,-0.99,0.241,36,Distracted
1764963321.152697,-183.59,-0.99,0.241,37,Distracted
1764963321.2081437,-182.75,-0.82,0.242,37,Distracted
1764963321.2227526,-182.75,-0.82,0.242,37,Distracted
1764963321.288287,-182.7,-0.48,0.242,37,Distracted
1764963321.301948,-182.7,-0.48,0.242,37,Distracted
1764963321.3592997,-181.78,-0.08,0.242,38,Distracted
1764963321.3734403,-181.78,-0.08,0.242,38,Distracted
1764963321.4259365,-180.84,0.23,0.243,38,Distracted
1764963321.437388,-180.84,0.23,0.243,38,Distracted
1764963321.4939642,-180.04,0.16,0.243,38,Distracted
1764963321.5136452,-180.04,0.16,0.243,38,Distracted
1764963321.5834403,-179.39,-0.31,0.242,38,Distracted
1764963321.5982842,-179.39,-0.31,0.242,38,Distracted
1764963321.6728323,-178.77,-0.26,0.244,38,Distracted
1764963321.6873925,-178.77,-0.26,0.244,38,Distracted
1764963321.7580924,-178.6,-0.19,0.243,39,Distracted
1764963321.7751088,-178.6,-0.19,0.243,39,Distracted
1764963321.8519795,-178.33,-0.2,0.241,39,Distracted
1764963321.8716178,-178.33,-0.2,0.241,39,Distracted
1764963321.9228904,-178.07,0.07,0.241,39,Distracted
1764963321.9368117,-178.07,0.07,0.241,38,Distracted
1764963322.005559,-178.28,0.18,0.242,38,Distracted
1764963322.0218618,-178.28,0.18,0.242,38,Distracted
1764963322.0965285,-178.37,0.37,0.241,38,Distracted
1764963322.1135354,-178.37,0.37,0.241,38,Distracted
1764963322.1855505,-178.35,0.48,0.242,38,Distracted
1764963322.195645,-178.35,0.48,0.242,38,Distracted
1764963322.2504284,-178.14,0.4,0.242,38,Distracted
1764963322.2644098,-178.14,0.4,0.242,38,Distracted
1764963322.3126235,-178.18,0.44,0.246,38,Distracted
1764963322.3302753,-178.18,0.44,0.246,38,Distracted
1764963322.3789556,-177.81,0.56,0.247,38,Distracted
1764963322.3924637,-177.81,0.56,0.247,38,Distracted
1764963322.4586744,-177.38,0.47,0.248,38,Distracted
1764963322.4681756,-177.38,0.47,0.248,38,Distracted
1764963322.5314581,-177.47,0.45,0.246,40,Distracted
1764963322.5481586,-177.47,0.45,0.246,40,Distracted
1764963322.60547,-176.97,0.63,0.243,40,Distracted
1764963322.6321173,-176.97,0.63,0.243,40,Distracted
1764963322.717034,-176.52,0.67,0.242,40,Distracted
1764963322.7369988,-176.52,0.67,0.242,41,Distracted
1764963322.7968059,-176.15,0.76,0.241,41,Distracted
1764963322.8115222,-176.15,0.76,0.241,41,Distracted
1764963322.87334,-176.2,0.69,0.24,41,Distracted
1764963322.8864138,-176.2,0.69,0.24,41,Distracted
1764963322.955942,-175.92,0.74,0.242,42,Distracted
1764963322.9753804,-175.92,0.74,0.242,42,Distracted
1764963323.0410614,-175.96,0.73,0.242,42,Distracted
1764963323.0562506,-175.96,0.73,0.242,42,Distracted
1764963323.1226234,-176.06,0.83,0.24,42,Distracted
1764963323.13593,-176.06,0.83,0.24,42,Distracted
1764963323.1968977,-176.34,0.69,0.244,42,Distracted
1764963323.2074225,-176.34,0.69,0.244,42,Distracted
1764963323.2715137,-176.19,0.69,0.244,42,Distracted
1764963323.2805586,-176.19,0.69,0.244,42,Distracted
1764963323.3468323,-176.08,0.68,0.244,42,Distracted
1764963323.3588817,-176.08,0.68,0.244,42,Distracted
1764963323.4267707,-176.28,0.75,0.245,42,Distracted
1764963323.4395301,-176.28,0.75,0.245,42,Distracted
1764963323.5040157,-176.07,0.82,0.247,42,Distracted
1764963323.5189097,-176.07,0.82,0.247,43,Distracted
1764963323.5891373,-176.52,0.64,0.248,43,Distracted
1764963323.6009462,-176.52,0.64,0.248,43,Distracted
1764963323.6505518,-177.11,0.53,0.245,43,Distracted
1764963323.6600573,-177.11,0.53,0.245,43,Distracted
1764963323.7149756,-177.59,0.12,0.245,43,Distracted
1764963323.7304366,-177.59,0.12,0.245,43,Distracted
1764963323.8052037,-177.26,-0.08,0.244,43,Distracted
1764963323.821194,-177.26,-0.08,0.244,43,Distracted
1764963323.8851423,-177.12,-0.06,0.243,43,Distracted
1764963323.8994982,-177.12,-0.06,0.243,43,Distracted
1764963323.9563565,-177.39,0.07,0.246,43,Distracted
1764963323.9721684,-177.39,0.07,0.246,43,Distracted
1764963324.0442564,-177.46,0.08,0.247,43,Distracted
1764963324.0616062,-177.46,0.08,0.247,43,Distracted
1764963324.1407485,-177.43,0.2,0.246,43,Distracted
