timestamp_unix,pitch,yaw,ear,fps,state
1764968649.9974825,171.23,4.08,0.271,0,Looking Away
1764968650.065855,172.1,2.37,0.264,0,Looking Away
1764968650.1773565,172.48,1.83,0.257,0,Looking Away
1764968650.2849302,172.45,1.63,0.254,0,Looking Away
1764968650.409248,172.2,1.89,0.255,10,Looking Away
1764968650.5004263,171.9,2.24,0.25,10,Looking Away
1764968650.6231542,171.24,2.98,0.251,10,Looking Away
1764968650.6886876,170.79,3.26,0.249,10,Looking Away
1764968650.7791848,171.19,3.59,0.246,10,Looking Away
1764968650.893484,171.03,3.73,0.245,10,Looking Away
1764968650.969122,170.36,3.44,0.241,10,Looking Away
1764968651.049632,171.61,3.34,0.236,10,Looking Away
1764968651.1230004,171.9,3.83,0.245,10,Looking Away
1764968651.1916552,171.23,3.7,0.247,10,Looking Away
1764968651.2713091,170.98,3.65,0.247,11,Looking Away
1764968651.3523204,171.25,3.51,0.242,11,Looking Away
1764968651.4364212,171.83,3.06,0.243,11,Looking Away
1764968651.5052989,172.08,3.32,0.246,11,Looking Away
1764968651.576173,171.87,3.41,0.249,11,Looking Away
1764968651.6453128,172.15,3.41,0.254,12,Looking Away
1764968651.7094743,171.3,2.9,0.257,12,Looking Away
1764968651.7872021,171.14,2.52,0.259,12,Looking Away
1764968651.8966494,170.95,1.97,0.263,12,Looking Away
1764968651.952214,170.72,1.67,0.264,12,Looking Away
1764968652.0372555,170.97,1.81,0.263,12,Looking Away
1764968652.1366117,171.44,2.0,0.264,12,Looking Away
1764968652.2443688,171.12,1.69,0.262,12,Looking Away
1764968652.3275318,171.09,1.29,0.262,12,Looking Away
1764968652.3798172,171.74,1.23,0.268,12,Looking Away
1764968652.4839783,172.75,0.93,0.273,12,Looking Away
1764968652.5784805,172.33,0.64,0.276,12,Looking Away
1764968652.6897118,172.47,0.65,0.277,12,Looking Away
1764968652.7930694,172.4,0.69,0.272,12,Looking Away
1764968652.8799882,171.98,0.66,0.269,12,Looking Away
1764968652.966788,171.99,0.58,0.27,12,Looking Away
1764968653.0453203,171.99,0.85,0.231,12,Looking Away
1764968653.133576,170.57,0.74,0.161,12,Drowsy / Eyes Closed
1764968653.1885889,171.0,-0.19,0.17,12,Drowsy / Eyes Closed
1764968653.239931,171.55,-0.27,0.186,12,Drowsy / Eyes Closed
1764968653.3112411,172.02,-0.09,0.207,12,Drowsy / Eyes Closed
1764968653.3801339,172.19,-0.08,0.22,12,Drowsy / Eyes Closed
1764968653.430175,172.34,0.02,0.235,12,Looking Away
1764968653.520466,173.01,0.28,0.236,12,Looking Away
1764968653.6118777,173.42,-0.72,0.238,12,Looking Away
1764968653.7232292,172.0,-4.31,0.239,12,Looking Away
1764968653.8137581,170.09,-9.59,0.234,12,Looking Away
1764968653.9024456,168.92,-14.97,0.257,12,Looking Away
1764968653.9773383,167.31,-19.99,0.251,12,Looking Away
1764968654.0353796,165.4,-23.88,0.253,12,Looking Away
1764968654.1145625,164.14,-26.91,0.23,12,Looking Away
1764968654.232241,162.71,-29.11,0.242,12,Looking Away
1764968654.3448732,160.8,-30.3,0.242,12,Looking Away
1764968654.4895504,163.98,-41.08,0.258,12,Looking Away
1764968654.571005,165.86,-47.81,0.27,12,Looking Away
1764968654.6312113,161.78,-42.47,0.276,12,Looking Away
1764968654.7094223,160.03,-38.23,0.257,12,Looking Away
1764968654.7986693,163.73,-46.12,0.257,12,Looking Away
1764968654.90297,161.37,-41.02,0.256,12,Looking Away
1764968655.0220945,165.29,-47.97,0.246,12,Looking Away
1764968655.1210835,167.31,-51.74,0.23,12,Looking Away
1764968655.2006884,169.25,-54.04,0.241,12,Looking Away
1764968655.2816367,170.5,-55.25,0.262,12,Looking Away
1764968655.373144,171.42,-55.69,0.28,12,Looking Away
1764968655.5217507,166.76,-46.59,0.277,12,Looking Away
1764968655.639039,169.41,-51.36,0.271,12,Looking Away
1764968655.8036895,170.92,-53.79,0.268,12,Looking Away
1764968655.916508,171.46,-54.93,0.284,12,Looking Away
1764968656.0570428,171.54,-55.35,0.297,12,Looking Away
1764968656.2141306,171.35,-55.18,0.33,12,Looking Away
1764968656.274776,168.14,-45.49,0.311,12,Looking Away
1764968656.3484416,166.11,-37.68,0.301,12,Looking Away
1764968656.4074202,165.86,-30.56,0.273,12,Looking Away
1764968656.4657612,166.39,-23.69,0.245,12,Looking Away
1764968656.5267286,167.53,-16.44,0.227,12,Looking Away
1764968656.5824149,170.27,-9.29,0.224,12,Looking Away
1764968656.6526048,171.48,0.35,0.211,12,Drowsy / Eyes Closed
1764968656.7328503,171.53,6.91,0.202,12,Drowsy / Eyes Closed
1764968656.8048458,172.25,12.17,0.215,12,Drowsy / Eyes Closed
1764968656.8763885,171.78,16.5,0.241,12,Looking Away
