timestamp_unix,pitch,yaw,ear,fps,state
1764969019.1764657,174.3,-3.92,0.193,0,Drowsy / Eyes Closed
1764969019.27613,174.31,-4.41,0.155,0,Drowsy / Eyes Closed
1764969019.3662558,174.77,-4.75,0.127,0,Drowsy / Eyes Closed
1764969019.4468348,174.31,-4.48,0.113,0,Drowsy / Eyes Closed
1764969019.533096,174.4,-4.03,0.172,11,Drowsy / Eyes Closed
1764969019.6149092,172.79,-3.25,0.218,11,Drowsy / Eyes Closed
1764969019.704612,171.58,-3.42,0.23,11,Looking Away
1764969019.7965248,170.82,-3.78,0.24,11,Looking Away
1764969019.868086,170.31,-3.95,0.241,11,Looking Away
1764969019.9372075,170.27,-4.21,0.238,12,Looking Away
1764969020.0135858,169.64,-4.27,0.237,12,Looking Away
1764969020.096974,169.7,-4.37,0.236,12,Looking Away
1764969020.1819763,170.2,-4.83,0.239,12,Looking Away
1764969020.257364,170.95,-4.61,0.246,12,Looking Away
1764969020.350513,171.12,-4.78,0.246,12,Looking Away
1764969020.4302154,171.18,-5.02,0.252,12,Looking Away
1764969020.5021281,170.64,-4.77,0.249,12,Looking Away
1764969020.5625732,170.33,-4.79,0.245,12,Looking Away
1764969020.6162424,170.02,-5.19,0.248,12,Looking Away
1764969020.668109,170.0,-5.08,0.252,13,Looking Away
1764969020.7396367,169.51,-4.9,0.253,13,Looking Away
1764969020.809621,169.22,-4.78,0.254,13,Looking Away
1764969020.8780925,169.15,-4.64,0.254,13,Looking Away
1764969020.9334095,169.13,-4.58,0.254,13,Looking Away
1764969021.0093925,169.21,-4.35,0.252,13,Looking Away
1764969021.0771835,169.14,-4.41,0.25,13,Looking Away
1764969021.137178,169.42,-4.15,0.256,13,Looking Away
1764969021.1933293,169.45,-3.96,0.258,13,Looking Away
1764969021.2598372,169.43,-4.23,0.259,13,Looking Away
1764969021.314115,169.36,-4.07,0.255,14,Looking Away
1764969021.3679788,169.48,-3.84,0.211,14,Drowsy / Eyes Closed
1764969021.4200559,168.96,-3.88,0.158,14,Drowsy / Eyes Closed
1764969021.4742315,169.46,-4.21,0.172,14,Drowsy / Eyes Closed
1764969021.5427067,169.82,-4.04,0.183,14,Drowsy / Eyes Closed
1764969021.6010318,170.26,-4.26,0.201,14,Drowsy / Eyes Closed
1764969021.6749163,170.31,-4.29,0.21,14,Drowsy / Eyes Closed
1764969021.7526546,170.32,-4.28,0.216,14,Drowsy / Eyes Closed
1764969021.8301926,170.26,-4.17,0.217,14,Drowsy / Eyes Closed
1764969021.9023113,170.88,-4.08,0.222,14,Looking Away
1764969021.975179,171.27,-3.68,0.223,14,Looking Away
1764969022.0553665,171.13,-3.64,0.224,14,Looking Away
1764969022.1316512,171.12,-3.74,0.226,14,Looking Away
