timestamp_unix,pitch,yaw,ear,fps,state
1764969106.4322064,171.75,-3.31,0.265,0,Looking Away
1764969106.5775852,169.71,-4.08,0.253,0,Looking Away
1764969106.7969863,167.49,-3.78,0.266,0,Looking Away
1764969107.1130757,166.8,-4.49,0.259,0,Looking Away
1764969107.4229436,167.94,-4.26,0.26,4,Looking Away
1764969107.6796021,167.93,-4.97,0.256,4,Looking Away
1764969107.980458,168.7,-4.94,0.254,4,Looking Away
1764969108.2189193,168.86,-4.63,0.256,4,Looking Away
1764969108.3554347,170.71,-4.97,0.248,4,Looking Away
1764969108.526808,172.49,-5.31,0.245,5,Looking Away
1764969108.6875637,173.56,-5.32,0.24,5,Looking Away
1764969108.8953736,174.61,-4.95,0.238,5,Looking Away
1764969109.0415926,175.76,-5.08,0.232,5,Looking Away
1764969109.2135527,176.32,-5.16,0.236,5,Looking Away
1764969109.354702,174.03,-4.56,0.255,5,Looking Away
1764969109.5336826,174.64,-2.94,0.271,5,Looking Away
1764969109.712281,174.29,-1.21,0.274,5,Looking Away
1764969109.8920476,174.71,-1.04,0.282,5,Looking Away
1764969110.0323195,174.35,-0.81,0.275,5,Looking Away
1764969110.199616,173.09,-3.17,0.273,5,Looking Away
1764969110.3575516,171.79,-4.8,0.271,5,Looking Away
1764969110.5000472,167.9,-5.17,0.231,5,Looking Away
1764969110.733713,166.13,-6.06,0.214,5,Drowsy / Eyes Closed
1764969110.9243236,164.76,-7.0,0.226,5,Looking Away
1764969111.0000978,163.46,-7.92,0.263,5,Looking Away
1764969111.2217278,162.42,-8.49,0.292,5,Looking Away
1764969111.3885372,164.57,-8.26,0.309,5,Looking Away
1764969111.4959152,169.59,-5.98,0.296,5,Looking Away
1764969111.7046344,172.69,-4.34,0.29,5,Looking Away
1764969111.837216,174.3,-3.72,0.276,6,Looking Away
1764969112.033479,175.48,-4.8,0.257,6,Looking Away
1764969112.2204978,173.54,-7.25,0.257,6,Looking Away
1764969112.332088,173.14,-8.05,0.259,6,Looking Away
1764969112.523574,171.87,-8.44,0.275,6,Looking Away
1764969112.6871662,171.88,-9.74,0.283,6,Looking Away
1764969112.8664553,169.34,-8.64,0.209,6,Drowsy / Eyes Closed
1764969113.0208588,167.86,-10.29,0.208,6,Drowsy / Eyes Closed
1764969113.197733,168.48,-7.49,0.227,6,Looking Away
1764969113.3995142,168.47,-5.16,0.236,6,Looking Away
1764969113.534837,170.64,-3.9,0.24,6,Looking Away
1764969113.7446373,172.85,-4.12,0.26,6,Looking Away
1764969113.8976104,173.46,-4.93,0.259,6,Looking Away
