timestamp_unix,pitch,yaw,ear,fps,state
1765015174.4695168,-177.98,53.92,0.276,0,Neutral (Distracted)
1765015174.5449197,-176.85,49.27,0.204,0,Neutral (Distracted)
1765015174.6008701,-177.16,46.69,0.197,0,Neutral (Distracted)
1765015174.657456,-177.85,45.72,0.211,0,Neutral (Distracted)
1765015174.7248015,-172.52,28.13,0.246,14,Neutral (Distracted)
1765015174.790467,-175.47,34.26,0.239,14,Neutral (Distracted)
1765015174.8440886,-176.42,36.73,0.205,14,Neutral (Distracted)
1765015174.8961763,-177.49,37.28,0.163,14,Drowsy / Eyes Closed
1765015174.9951448,-176.81,36.07,0.147,14,Drowsy / Eyes Closed
1765015175.0445237,-175.69,37.14,0.184,15,Neutral (Distracted)
1765015175.1391432,-174.66,36.42,0.222,15,Neutral (Distracted)
1765015175.2305548,-173.17,35.76,0.243,15,Neutral (Distracted)
1765015175.2871385,-172.04,34.8,0.25,15,Neutral (Distracted)
1765015175.3461263,-171.67,35.31,0.256,15,Neutral (Distracted)
1765015175.4088242,-171.48,35.21,0.272,15,Neutral (Distracted)
1765015175.4685564,-171.54,35.33,0.28,15,Neutral (Distracted)
1765015175.5262847,-171.81,35.63,0.287,15,Neutral (Distracted)
1765015175.575722,-171.96,36.18,0.289,15,Neutral (Distracted)
1765015175.6430068,-171.19,36.86,0.291,15,Neutral (Distracted)
1765015175.697621,-170.3,38.1,0.308,15,Neutral (Distracted)
1765015175.7539885,-171.04,38.77,0.309,15,Neutral (Distracted)
1765015175.8193102,-171.27,39.52,0.294,15,Neutral (Distracted)
1765015175.8822591,-171.66,39.7,0.287,15,Neutral (Distracted)
1765015175.937742,-172.78,39.81,0.289,15,Neutral (Distracted)
1765015175.9894462,-172.59,39.25,0.295,16,Neutral (Distracted)
1765015176.048229,-171.76,38.07,0.297,16,Neutral (Distracted)
1765015176.109581,-171.27,37.05,0.3,16,Neutral (Distracted)
1765015176.2128723,-171.76,36.38,0.3,16,Neutral (Distracted)
1765015176.3020024,-172.25,35.78,0.294,16,Neutral (Distracted)
1765015176.3536375,-171.65,35.74,0.302,16,Neutral (Distracted)
1765015176.4389462,-171.44,35.33,0.304,16,Neutral (Distracted)
1765015176.5410502,-171.24,34.04,0.303,16,Neutral (Distracted)
1765015176.6282642,-171.12,32.61,0.3,16,Neutral (Distracted)
1765015176.7240372,-170.9,32.0,0.301,16,Neutral (Distracted)
1765015176.806271,-170.92,31.37,0.298,15,Neutral (Distracted)
1765015176.9215772,-170.74,31.51,0.302,15,Neutral (Distracted)
1765015177.0397515,-171.02,31.47,0.301,15,Neutral (Distracted)
1765015177.1630666,-171.28,32.32,0.308,15,Neutral (Distracted)
1765015177.2447956,-171.09,32.77,0.311,15,Neutral (Distracted)
1765015177.363994,-170.79,33.51,0.31,14,Neutral (Distracted)
1765015177.4863603,-171.02,33.57,0.303,14,Neutral (Distracted)
1765015177.604853,-170.96,34.11,0.308,14,Neutral (Distracted)
1765015177.6855054,-171.4,33.82,0.306,14,Neutral (Distracted)
1765015177.769519,-171.73,33.91,0.302,14,Neutral (Distracted)
1765015177.883359,-171.8,33.46,0.303,14,Neutral (Distracted)
1765015177.9712949,-171.95,34.24,0.312,14,Neutral (Distracted)
1765015178.0573032,-171.72,35.37,0.323,14,Neutral (Distracted)
1765015178.138901,-171.66,35.62,0.323,14,Neutral (Distracted)
1765015178.2011826,-171.8,35.92,0.321,14,Neutral (Distracted)
1765015178.264363,-171.75,35.96,0.32,14,Neutral (Distracted)
1765015178.3169768,-171.61,35.62,0.317,14,Neutral (Distracted)
1765015178.3844085,-171.58,35.88,0.315,14,Neutral (Distracted)
1765015178.4388578,-171.75,35.59,0.313,14,Neutral (Distracted)
1765015178.4974597,-171.84,36.14,0.312,14,Neutral (Distracted)
1765015178.5602503,-172.17,36.81,0.316,14,Neutral (Distracted)
