timestamp_unix,pitch,yaw,ear,fps,state
1765015942.5154593,-177.4,27.69,0.324,0,Neutral (Distracted)
1765015942.6139796,-177.85,28.42,0.327,0,Neutral (Distracted)
1765015942.692113,-178.44,28.64,0.324,0,Neutral (Distracted)
1765015942.7754238,-179.07,28.85,0.328,0,Neutral (Distracted)
1765015942.8682373,-179.39,29.1,0.332,11,Neutral (Distracted)
1765015942.9460766,-179.42,29.04,0.339,11,Neutral (Distracted)
1765015943.014246,-179.55,29.23,0.338,11,Neutral (Distracted)
1765015943.0719721,-179.48,29.54,0.341,11,Neutral (Distracted)
1765015943.2043679,-179.67,30.19,0.345,11,Neutral (Distracted)
1765015943.3965163,-179.59,30.42,0.346,12,Neutral (Distracted)
1765015943.5752647,-179.45,30.46,0.346,12,Neutral (Distracted)
1765015943.624167,-179.39,30.76,0.349,12,Neutral (Distracted)
1765015943.6948097,-179.17,30.98,0.353,12,Neutral (Distracted)
1765015943.7541041,-178.92,30.6,0.353,12,Neutral (Distracted)
1765015943.8197575,-178.77,30.46,0.344,12,Neutral (Distracted)
1765015943.8769786,-178.48,30.5,0.342,12,Neutral (Distracted)
1765015943.9420006,-178.2,30.21,0.337,12,Neutral (Distracted)
1765015944.0088465,-178.04,29.84,0.328,12,Neutral (Distracted)
1765015944.0814946,-178.23,29.74,0.327,12,Neutral (Distracted)
1765015944.155843,-178.34,29.59,0.324,13,Neutral (Distracted)
1765015944.2561758,-178.38,29.61,0.326,13,Neutral (Distracted)
1765015944.363907,-178.2,29.73,0.331,13,Neutral (Distracted)
1765015944.4245484,-178.12,29.62,0.329,13,Neutral (Distracted)
1765015944.4775248,-178.17,29.37,0.328,13,Neutral (Distracted)
1765015944.546852,-178.19,29.25,0.332,13,Neutral (Distracted)
1765015944.6054513,-178.48,29.34,0.334,13,Neutral (Distracted)
1765015944.6644106,-178.65,29.43,0.334,13,Neutral (Distracted)
1765015944.7247136,-178.77,29.57,0.335,13,Neutral (Distracted)
1765015944.7886117,-178.82,29.79,0.332,13,Neutral (Distracted)
1765015944.8460608,-178.74,30.34,0.328,14,Neutral (Distracted)
1765015944.9141304,-178.59,30.03,0.329,14,Neutral (Distracted)
1765015945.0109878,-178.4,29.47,0.339,14,Neutral (Distracted)
1765015945.1145005,-178.46,29.09,0.344,14,Neutral (Distracted)
1765015945.1820154,-178.47,28.84,0.343,14,Neutral (Distracted)
1765015945.240949,-178.34,28.71,0.344,14,Neutral (Distracted)
1765015945.3058672,-178.15,28.49,0.344,14,Neutral (Distracted)
1765015945.3682857,-177.93,28.45,0.342,14,Neutral (Distracted)
1765015945.4278793,-177.84,28.35,0.34,14,Neutral (Distracted)
1765015945.487733,-177.74,28.38,0.336,14,Neutral (Distracted)
1765015945.5496767,-177.56,28.78,0.327,14,Neutral (Distracted)
1765015945.6118832,-177.56,29.47,0.327,14,Neutral (Distracted)
1765015945.6733253,-177.53,30.06,0.33,14,Neutral (Distracted)
1765015945.7434952,-177.31,30.12,0.332,14,Neutral (Distracted)
1765015945.8147836,-177.16,30.34,0.331,14,Neutral (Distracted)
1765015945.8738155,-177.01,30.39,0.333,14,Neutral (Distracted)
1765015945.9358344,-176.82,29.98,0.334,14,Neutral (Distracted)
1765015945.993313,-176.8,30.24,0.34,14,Neutral (Distracted)
1765015946.0740387,-176.94,30.35,0.344,14,Neutral (Distracted)
1765015946.134251,-177.2,30.47,0.348,14,Neutral (Distracted)
1765015946.1940804,-177.31,30.53,0.35,14,Neutral (Distracted)
1765015946.2643287,-177.3,29.96,0.342,14,Neutral (Distracted)
1765015946.328217,-177.42,29.29,0.336,14,Neutral (Distracted)
1765015946.3908548,-177.55,28.68,0.33,14,Neutral (Distracted)
1765015946.4574184,-177.49,28.7,0.329,14,Neutral (Distracted)
1765015946.520364,-177.46,28.74,0.331,14,Neutral (Distracted)
1765015946.5787919,-177.5,28.94,0.337,14,Neutral (Distracted)
1765015946.64055,-177.53,29.09,0.336,14,Neutral (Distracted)
1765015946.7112665,-177.63,29.22,0.338,14,Neutral (Distracted)
1765015946.7712338,-177.61,29.22,0.337,14,Neutral (Distracted)
1765015946.828921,-177.57,29.27,0.336,14,Neutral (Distracted)
1765015946.9009356,-177.72,29.28,0.336,14,Neutral (Distracted)
1765015946.9589272,-177.93,29.13,0.337,14,Neutral (Distracted)
1765015947.018666,-177.97,29.04,0.333,14,Neutral (Distracted)
1765015947.0729344,-178.03,28.85,0.331,14,Neutral (Distracted)
1765015947.1373005,-178.09,28.86,0.327,15,Neutral (Distracted)
1765015947.195003,-178.08,28.72,0.322,15,Neutral (Distracted)
1765015947.2595267,-177.99,28.4,0.322,15,Neutral (Distracted)
1765015947.3188593,-178.07,28.56,0.323,15,Neutral (Distracted)
1765015947.3841758,-178.13,28.48,0.323,15,Neutral (Distracted)
1765015947.4413638,-178.0,28.66,0.323,15,Neutral (Distracted)
1765015947.5009139,-178.1,28.69,0.325,15,Neutral (Distracted)
1765015947.5678935,-178.34,28.73,0.326,15,Neutral (Distracted)
1765015947.630174,-178.24,28.71,0.328,15,Neutral (Distracted)
1765015947.6884916,-178.19,28.22,0.327,15,Neutral (Distracted)
1765015947.7566583,-178.16,28.33,0.326,15,Neutral (Distracted)
1765015947.8188462,-178.37,28.34,0.325,15,Neutral (Distracted)
1765015947.8776245,-178.46,28.81,0.325,15,Neutral (Distracted)
1765015947.9352424,-178.57,29.14,0.315,15,Neutral (Distracted)
1765015948.1339576,-178.75,29.06,0.31,15,Neutral (Distracted)
1765015948.329368,-178.68,29.05,0.315,15,Neutral (Distracted)
1765015948.5289657,-178.68,28.78,0.312,15,Neutral (Distracted)
1765015948.6907072,-178.73,28.77,0.312,15,Neutral (Distracted)
1765015948.792336,-178.81,28.68,0.313,15,Neutral (Distracted)
1765015948.888988,-178.94,28.92,0.318,15,Neutral (Distracted)
1765015948.9504507,-178.98,28.67,0.313,14,Neutral (Distracted)
1765015949.0121655,-178.78,28.54,0.314,14,Neutral (Distracted)
1765015949.0798645,-178.64,28.32,0.312,14,Neutral (Distracted)
1765015949.1404905,-178.59,28.2,0.313,14,Neutral (Distracted)
1765015949.1990147,-178.58,28.11,0.313,14,Neutral (Distracted)
1765015949.2684,-178.47,27.97,0.313,14,Neutral (Distracted)
1765015949.3302977,-178.52,27.95,0.312,14,Neutral (Distracted)
1765015949.3981624,-178.53,27.93,0.312,14,Neutral (Distracted)
1765015949.4959648,-178.54,27.91,0.312,14,Neutral (Distracted)
1765015949.5918205,-178.53,27.98,0.314,14,Neutral (Distracted)
1765015949.6549408,-178.53,28.01,0.315,14,Neutral (Distracted)
1765015949.7160542,-178.54,28.03,0.314,14,Neutral (Distracted)
1765015949.777994,-178.45,27.9,0.313,14,Neutral (Distracted)
1765015949.829394,-178.46,27.84,0.313,14,Neutral (Distracted)
1765015949.8962061,-178.44,27.84,0.313,14,Neutral (Distracted)
1765015949.9644248,-178.47,27.8,0.314,15,Neutral (Distracted)
1765015950.0269425,-178.48,27.74,0.313,15,Neutral (Distracted)
1765015950.0867314,-178.5,27.79,0.315,15,Neutral (Distracted)
1765015950.1740625,-178.51,27.75,0.314,15,Neutral (Distracted)
1765015950.2450697,-178.48,27.82,0.316,15,Neutral (Distracted)
1765015950.315466,-178.48,27.87,0.319,15,Neutral (Distracted)
1765015950.380306,-178.48,27.56,0.315,15,Neutral (Distracted)
1765015950.4438453,-178.34,26.11,0.304,15,Neutral (Distracted)
1765015950.4953873,-178.61,18.99,0.312,15,Neutral (Distracted)
1765015950.560174,-1.89,3.78,0.313,15,Neutral
