timestamp_unix,pitch,yaw,ear,fps,state
1765015966.6761286,0.0,0.0,0.0,0,UNKNOWN
1765015966.733763,0.0,0.0,0.0,0,UNKNOWN
1765015966.7747917,0.0,0.0,0.0,0,UNKNOWN
1765015966.82277,0.0,0.0,0.0,0,UNKNOWN
1765015966.8668573,0.0,0.0,0.0,21,UNKNOWN
1765015966.9145725,0.0,0.0,0.0,21,UNKNOWN
1765015966.9550025,0.0,0.0,0.0,21,UNKNOWN
1765015967.0044394,0.0,0.0,0.0,21,UNKNOWN
1765015967.051713,0.0,0.0,0.0,21,UNKNOWN
1765015967.1000526,0.0,0.0,0.0,22,UNKNOWN
1765015967.1432123,0.0,0.0,0.0,22,UNKNOWN
1765015967.1902392,0.0,0.0,0.0,22,UNKNOWN
1765015967.2397478,0.0,0.0,0.0,22,UNKNOWN
1765015967.287632,0.0,0.0,0.0,22,UNKNOWN
1765015967.3319798,0.0,0.0,0.0,21,UNKNOWN
1765015967.381909,0.0,0.0,0.0,21,UNKNOWN
1765015967.4306538,0.0,0.0,0.0,21,UNKNOWN
1765015967.4775488,0.0,0.0,0.0,21,UNKNOWN
1765015967.5336773,0.0,0.0,0.0,21,UNKNOWN
1765015967.5964231,0.0,0.0,0.0,21,UNKNOWN
1765015967.6713192,0.0,0.0,0.0,21,UNKNOWN
1765015967.7536447,0.0,0.0,0.0,21,UNKNOWN
1765015967.8041768,0.0,0.0,0.0,21,UNKNOWN
1765015967.8446877,0.0,0.0,0.0,21,UNKNOWN
1765015967.895736,0.0,0.0,0.0,20,UNKNOWN
1765015967.9449208,0.0,0.0,0.0,20,UNKNOWN
1765015967.988828,0.0,0.0,0.0,20,UNKNOWN
1765015968.0388858,0.0,0.0,0.0,20,UNKNOWN
1765015968.083864,0.0,0.0,0.0,20,UNKNOWN
1765015968.1329713,0.0,0.0,0.0,20,UNKNOWN
1765015968.1789615,0.0,0.0,0.0,20,UNKNOWN
1765015968.2297006,0.0,0.0,0.0,20,UNKNOWN
1765015968.2956667,0.0,0.0,0.0,20,UNKNOWN
1765015968.3526921,0.0,0.0,0.0,20,UNKNOWN
1765015968.4208193,0.0,0.0,0.0,20,UNKNOWN
1765015968.4695182,0.0,0.0,0.0,20,UNKNOWN
